Unidades_Vendidas,Precio_Unitario,Descuento_Porc,Venta_Total
18,284.11,14.67,4363.91
50,566.4,13.26,24564.19
20,448.91,0.79,8906.97
43,405.4,10.07,15675.83
33,434.43,29.02,10175.21
21,554.41,9.2,10571.93
46,421.33,18.98,15701.92
24,685.52,20.45,13087.73
28,544.13,18.71,12385.17
5,424.61,8.69,1938.55
30,341.94,17.15,8498.85
43,469.5,21.12,15924.01
24,571.15,11.5,12131.33
39,499.52,8.41,17843.11
14,460.11,8.25,5910.16
36,481.22,27.54,12552.38
36,494.04,19.33,14346.68
26,428.41,22.57,8624.34
13,726.36,17.03,7834.17
40,585.3,18.91,18983.76
21,427.15,8.3,8226.04
26,300.39,26.79,5718.2
34,551.12,15.04,15920.62
40,599.35,24.16,18181.78
14,523.19,15.54,6186.34
21,492.02,3.49,9971.89
43,496.33,3.35,20626.26
49,496.5,13.92,20941.18
47,475.31,12.9,19458.3
50,498.78,27.4,18105.91
19,488.89,3.95,8921.88
12,582.13,20.6,5546.78
36,619.03,27.54,16146.95
30,562.78,12.33,14801.28
44,653.96,26.55,21135.0
33,601.56,4.33,18992.11
44,656.13,3.16,27957.26
23,567.57,7.0,12140.28
41,518.62,15.64,17938.55
13,664.91,19.39,6967.63
28,422.66,23.14,9096.19
28,662.58,23.0,14285.81
19,492.41,3.36,9041.84
37,635.09,26.22,17337.16
31,546.55,3.37,16371.97
50,438.77,26.93,16029.47
42,460.86,28.73,13795.3
39,706.14,17.52,22713.75
17,463.99,20.82,6245.89
28,665.77,11.09,16573.76
4,646.1,16.52,2157.47
6,498.07,24.96,2242.46
19,409.52,4.78,7408.65
23,564.96,15.05,11038.12
40,408.26,12.28,14325.65
45,708.85,25.99,23607.28
42,621.07,3.93,25059.67
6,335.7,26.75,1475.34
24,581.03,7.51,12897.65
22,483.61,18.17,8706.08
21,421.41,11.4,7841.11
14,560.04,27.98,5646.63
24,325.78,5.93,7355.41
25,430.0,15.08,9129.21
17,429.85,6.85,6807.03
46,403.47,24.04,14098.42
35,448.33,8.13,14415.71
17,619.56,28.6,7519.74
28,463.84,27.73,9385.88
