Edad,Horas_Trabajo_Semana,Ingreso_Mensual_MXN,Antiguedad_Laboral_Anios,Sector_Laboral,Nivel_Estudios
53,36,11470,3.3,Servicios,Posgrado
39,35,18300,3.4,Gobierno,Licenciatura
26,44,9276,2.7,Comercio,Licenciatura
39,42,33224,5.3,Servicios,Licenciatura
40,47,69354,11.9,Servicios,Licenciatura
47,33,21173,5.9,Industria,Bachillerato
47,41,12444,8.5,Servicios,Licenciatura
65,39,8140,5.1,Servicios,Secundaria
45,54,6637,4.5,Comercio,Licenciatura
47,49,12157,4.5,Gobierno,Licenciatura
28,39,14439,5.2,Comercio,Licenciatura
47,39,20291,18.2,Servicios,Secundaria
33,57,20362,10.5,Construccion,Bachillerato
30,45,12344,7.1,Comercio,Posgrado
49,37,7367,8.8,Gobierno,Secundaria
27,50,10558,4.3,Comercio,Secundaria
52,48,3970,6.4,Servicios,Licenciatura
42,41,10060,2.2,Gobierno,Bachillerato
41,45,13189,8.6,Industria,Bachillerato
24,46,11964,19.2,Comercio,Bachillerato
45,45,27001,4.4,Servicios,Licenciatura
27,46,20088,20.0,Comercio,Posgrado
40,54,15526,5.1,Gobierno,Bachillerato
50,41,47116,8.5,Servicios,Bachillerato
47,41,30954,7.6,Comercio,Secundaria
26,49,23403,2.4,Comercio,Bachillerato
39,50,7611,3.9,Comercio,Bachillerato
40,25,12370,4.6,Industria,Licenciatura
50,50,11163,2.7,Servicios,Bachillerato
28,42,4757,4.0,Construccion,Licenciatura
39,44,37532,9.3,Comercio,Bachillerato
42,46,27519,7.8,Comercio,Secundaria
39,49,15342,4.4,Comercio,Bachillerato
41,44,7620,9.2,Comercio,Bachillerato
45,35,10388,12.3,Servicios,Licenciatura
42,45,5103,8.9,Servicios,Secundaria
28,60,19052,10.8,Servicios,Posgrado
48,43,13004,7.6,Gobierno,Bachillerato
34,36,17430,6.8,Servicios,Secundaria
41,52,7065,4.7,Construccion,Licenciatura
24,50,4812,1.0,Industria,Bachillerato
53,34,15994,10.5,Gobierno,Bachillerato
38,48,28444,3.4,Construccion,Bachillerato
35,36,13689,4.8,Comercio,Bachillerato
52,42,6637,1.6,Industria,Licenciatura
43,44,32055,3.0,Servicios,Secundaria
39,44,9035,6.4,Gobierno,Posgrado
35,35,31264,14.2,Comercio,Secundaria
32,50,39362,2.9,Comercio,Licenciatura
32,51,11601,11.0,Comercio,Posgrado
28,39,10622,6.1,Comercio,Licenciatura
36,42,45407,2.3,Servicios,Licenciatura
40,41,21695,13.6,Servicios,Bachillerato
37,45,21063,7.1,Industria,Secundaria
39,45,5495,3.1,Servicios,Licenciatura
59,46,8506,10.6,Servicios,Secundaria
39,41,12095,19.0,Servicios,Licenciatura
37,37,15700,11.7,Servicios,Bachillerato
65,44,26768,8.8,Industria,Secundaria
58,36,17423,8.7,Industria,Secundaria
44,37,5534,2.3,Servicios,Bachillerato
47,47,19834,26.4,Construccion,Bachillerato
45,54,26068,2.4,Construccion,Licenciatura
46,41,24884,5.3,Servicios,Bachillerato
52,46,10876,3.4,Comercio,Bachillerato
35,39,17019,6.7,Industria,Licenciatura
65,42,18824,3.4,Industria,Licenciatura
30,39,10198,5.2,Comercio,Licenciatura
41,31,5403,10.8,Servicios,Bachillerato
36,38,9026,19.7,Comercio,Bachillerato
18,47,17234,6.7,Gobierno,Licenciatura
30,40,4889,9.2,Industria,Bachillerato
34,52,14818,4.5,Industria,Bachillerato
43,31,38322,5.1,Gobierno,Licenciatura
25,40,18109,7.3,Servicios,Bachillerato
42,38,7466,3.6,Gobierno,Licenciatura
32,36,48553,5.1,Industria,Bachillerato
43,39,38421,15.2,Gobierno,Licenciatura
37,38,28970,4.6,Servicios,Licenciatura
61,47,15354,1.9,Construccion,Bachillerato
52,37,6245,5.0,Industria,Secundaria
45,49,18190,22.0,Servicios,Licenciatura
51,33,18565,10.9,Construccion,Posgrado
36,39,11105,7.6,Construccion,Bachillerato
18,40,7737,14.3,Servicios,Secundaria
32,43,13141,3.9,Comercio,Licenciatura
39,51,26137,5.0,Servicios,Licenciatura
35,52,15204,9.6,Servicios,Licenciatura
27,37,9654,6.5,Gobierno,Posgrado
31,32,32250,4.5,Servicios,Secundaria
31,51,6210,11.2,Comercio,Posgrado
32,60,31932,9.7,Industria,Licenciatura
47,51,14040,21.4,Servicios,Bachillerato
42,48,40560,4.9,Servicios,Posgrado
28,42,12278,3.3,Gobierno,Posgrado
36,37,5220,12.0,Comercio,Licenciatura
48,48,7354,3.4,Comercio,Posgrado
55,42,8950,7.4,Servicios,Licenciatura
49,45,9207,11.9,Construccion,Licenciatura
44,46,11623,2.6,Industria,Bachillerato
36,51,15781,2.9,Servicios,Secundaria
44,60,34876,3.6,Comercio,Licenciatura
33,37,24979,3.8,Comercio,Bachillerato
54,48,25872,0.8,Comercio,Licenciatura
18,50,17864,4.6,Comercio,Bachillerato
29,47,45352,1.3,Servicios,Licenciatura
53,42,4601,9.6,Servicios,Licenciatura
42,28,41942,6.4,Servicios,Bachillerato
30,54,44639,6.3,Industria,Licenciatura
18,53,18908,22.0,Servicios,Licenciatura
57,40,5463,3.8,Industria,Bachillerato
34,44,5018,1.7,Gobierno,Bachillerato
31,43,26415,13.6,Servicios,Licenciatura
28,40,21321,2.0,Gobierno,Bachillerato
58,48,9945,7.7,Construccion,Secundaria
56,30,8333,16.1,Comercio,Bachillerato
38,51,17694,7.5,Industria,Secundaria
47,49,17263,7.0,Comercio,Licenciatura
37,39,4475,5.5,Gobierno,Bachillerato
43,48,12654,6.8,Comercio,Licenciatura
58,43,32951,1.6,Industria,Secundaria
35,49,14947,11.5,Industria,Bachillerato
49,37,7471,9.8,Construccion,Licenciatura
24,36,8492,6.5,Comercio,Posgrado
46,43,12433,9.0,Gobierno,Licenciatura
38,50,12620,2.0,Comercio,Secundaria
38,58,15660,5.4,Servicios,Licenciatura
42,42,12485,5.4,Servicios,Secundaria
20,40,13194,13.1,Industria,Licenciatura
29,43,13723,1.4,Gobierno,Secundaria
39,44,13299,7.9,Industria,Licenciatura
55,41,19464,14.9,Comercio,Licenciatura
36,47,18933,5.0,Servicios,Bachillerato
26,42,8915,14.1,Servicios,Posgrado
45,36,22670,5.1,Servicios,Bachillerato
50,30,18040,8.9,Gobierno,Licenciatura
51,47,27387,18.6,Industria,Licenciatura
60,47,16526,13.7,Servicios,Licenciatura
37,51,10469,9.0,Construccion,Licenciatura
32,42,14845,11.0,Servicios,Posgrado
38,44,12977,14.2,Gobierno,Posgrado
34,40,21824,5.3,Servicios,Licenciatura
39,46,12700,1.7,Industria,Bachillerato
40,52,12540,3.7,Comercio,Posgrado
37,50,10750,12.6,Servicios,Licenciatura
18,37,31311,1.7,Servicios,Licenciatura
43,42,24865,12.0,Construccion,Licenciatura
32,49,56822,6.3,Servicios,Licenciatura
63,36,15571,17.1,Construccion,Licenciatura
44,47,29071,3.5,Servicios,Licenciatura
43,42,7642,4.4,Industria,Secundaria
36,52,10217,5.9,Comercio,Bachillerato
19,45,14840,13.7,Servicios,Licenciatura
19,37,24159,4.2,Servicios,Bachillerato
45,43,9761,9.6,Gobierno,Licenciatura
25,40,4489,2.6,Gobierno,Bachillerato
32,54,7840,0.9,Gobierno,Bachillerato
49,43,16149,5.3,Industria,Licenciatura
48,46,21709,11.4,Comercio,Secundaria
46,50,4810,1.8,Comercio,Licenciatura
30,44,11658,6.3,Servicios,Bachillerato
42,35,18177,2.6,Gobierno,Licenciatura
30,32,8133,5.0,Comercio,Bachillerato
43,39,125000,17.0,Gobierno,Secundaria
27,50,28730,15.4,Servicios,Licenciatura
30,41,12384,14.4,Industria,Bachillerato
26,42,7384,6.0,Servicios,Secundaria
37,40,10417,1.8,Comercio,Bachillerato
31,45,28032,9.0,Servicios,Bachillerato
40,34,8999,3.1,Comercio,Bachillerato
21,34,10530,7.6,Servicios,Bachillerato
38,46,3807,7.3,Servicios,Licenciatura
30,38,9083,1.0,Servicios,Secundaria
46,34,11716,10.6,Servicios,Licenciatura
48,36,34286,2.7,Comercio,Bachillerato
29,47,9023,0.9,Comercio,Secundaria
31,43,23711,4.0,Servicios,Licenciatura
38,41,11888,6.6,Comercio,Bachillerato
44,48,9213,5.8,Construccion,Licenciatura
26,40,32683,3.1,Gobierno,Bachillerato
52,51,13635,14.4,Servicios,Licenciatura
45,50,11605,8.5,Servicios,Licenciatura
37,40,5676,3.3,Servicios,Bachillerato
30,43,19677,15.7,Comercio,Licenciatura
33,32,17364,3.3,Industria,Secundaria
30,41,20431,10.6,Industria,Bachillerato
42,42,19561,4.3,Servicios,Bachillerato
32,51,11503,11.0,Industria,Licenciatura
28,45,35707,10.6,Industria,Posgrado
29,42,22062,4.8,Industria,Secundaria
36,41,11827,7.5,Comercio,Secundaria
33,45,11566,0.8,Servicios,Secundaria
44,51,7834,1.5,Servicios,Licenciatura
41,39,15782,12.6,Construccion,Licenciatura
26,44,9187,12.6,Comercio,Bachillerato
29,45,5585,6.8,Industria,Licenciatura
41,41,8642,4.6,Servicios,Posgrado
38,51,8584,14.6,Gobierno,Bachillerato
40,38,24484,2.2,Comercio,Licenciatura
31,47,12858,13.0,Servicios,Licenciatura
43,36,16459,8.6,Servicios,Licenciatura
52,35,23589,14.3,Comercio,Secundaria
30,47,11210,48.0,Comercio,Licenciatura
51,33,13449,14.7,Industria,Licenciatura
52,41,5611,1.4,Gobierno,Licenciatura
40,46,5215,9.2,Servicios,Bachillerato
32,48,31432,9.1,Industria,Secundaria
45,36,27853,2.0,Servicios,Posgrado
34,40,8707,1.1,Servicios,Secundaria
42,43,6336,4.6,Servicios,Bachillerato
53,39,8249,1.1,Comercio,Secundaria
49,49,8065,19.8,Servicios,Bachillerato
27,37,15662,3.0,Industria,Licenciatura
27,44,28088,2.5,Servicios,Secundaria
35,39,13830,2.9,Servicios,Secundaria
48,40,16192,2.9,Industria,Bachillerato
38,47,31473,2.2,Servicios,Secundaria
49,48,20174,6.4,Servicios,Secundaria
45,43,19614,3.1,Comercio,Licenciatura
19,38,11385,2.7,Comercio,Bachillerato
29,41,3482,5.6,Gobierno,Licenciatura
43,42,10002,14.1,Gobierno,Licenciatura
82,44,19364,2.1,Servicios,Licenciatura
56,39,7601,12.5,Construccion,Secundaria
45,45,19925,3.6,Comercio,Licenciatura
34,43,23365,12.1,Industria,Licenciatura
42,43,12407,15.1,Comercio,Secundaria
32,46,9661,7.2,Servicios,Secundaria
28,43,11475,5.5,Servicios,Licenciatura
42,56,17771,12.5,Gobierno,Bachillerato
48,33,13236,16.8,Servicios,Bachillerato
36,42,12324,2.8,Servicios,Bachillerato
33,46,18713,7.8,Comercio,Licenciatura
51,50,17219,2.7,Construccion,Bachillerato
41,58,25970,3.3,Servicios,Bachillerato
37,44,31351,8.5,Servicios,Secundaria
29,43,9710,10.3,Comercio,Licenciatura
24,39,19735,2.1,Industria,Licenciatura
34,41,10632,5.0,Servicios,Bachillerato
31,39,12846,11.1,Comercio,Posgrado
43,32,9604,3.3,Industria,Licenciatura
38,38,15421,7.4,Industria,Posgrado
37,36,15714,17.9,Servicios,Bachillerato
33,31,22369,9.8,Servicios,Bachillerato
57,47,23932,3.7,Servicios,Bachillerato
52,45,8209,1.5,Servicios,Posgrado
31,40,18514,4.1,Construccion,Secundaria
26,46,27733,0.8,Gobierno,Licenciatura
39,46,14509,9.9,Gobierno,Secundaria
51,38,10832,10.7,Industria,Licenciatura
37,36,24646,1.4,Comercio,Bachillerato
41,35,20767,9.7,Gobierno,Secundaria
38,37,19658,8.2,Industria,Licenciatura
40,40,19253,5.9,Servicios,Secundaria
38,44,22310,2.4,Servicios,Bachillerato
51,51,12637,3.9,Servicios,Licenciatura
30,42,5312,3.3,Construccion,Bachillerato
32,50,9443,2.1,Servicios,Bachillerato
18,40,9027,2.6,Industria,Bachillerato
31,41,30985,3.4,Industria,Secundaria
31,45,10325,15.5,Servicios,Secundaria
51,78,14917,15.2,Industria,Bachillerato
20,50,9637,10.0,Servicios,Licenciatura
36,40,15887,17.1,Construccion,Posgrado
41,28,22217,4.4,Industria,Bachillerato
42,55,21107,11.9,Industria,Licenciatura
22,35,36336,1.6,Comercio,Bachillerato
38,46,23743,5.1,Industria,Licenciatura
31,42,12186,2.9,Industria,Licenciatura
42,40,14819,12.3,Industria,Licenciatura
62,47,11347,9.2,Comercio,Bachillerato
43,36,19338,4.7,Servicios,Licenciatura
38,33,14478,20.9,Servicios,Secundaria
45,47,14157,2.7,Industria,Licenciatura
34,48,22426,3.3,Industria,Secundaria
35,37,24987,7.5,Construccion,Licenciatura
37,27,14561,11.1,Comercio,Licenciatura
18,40,17009,12.8,Construccion,Licenciatura
36,46,8376,1.5,Servicios,Licenciatura
33,52,9923,3.7,Comercio,Licenciatura
34,43,180000,8.5,Comercio,Secundaria
25,46,17593,6.1,Comercio,Bachillerato
34,39,28274,10.6,Servicios,Licenciatura
42,43,10793,9.4,Industria,Bachillerato
31,38,12239,12.7,Industria,Bachillerato
43,41,6156,2.0,Industria,Secundaria
46,41,17067,8.7,Servicios,Licenciatura
44,28,13746,3.6,Servicios,Secundaria
27,40,30067,9.5,Comercio,Licenciatura
32,34,25407,4.0,Servicios,Licenciatura
41,55,33576,1.1,Comercio,Secundaria
35,38,16662,3.2,Comercio,Bachillerato
46,41,24287,10.3,Servicios,Bachillerato
46,45,22558,12.0,Servicios,Bachillerato
35,43,8475,7.6,Servicios,Licenciatura
49,52,33359,7.1,Servicios,Bachillerato
30,40,34210,19.0,Gobierno,Bachillerato
23,38,19936,1.1,Servicios,Posgrado
43,42,21350,1.3,Industria,Licenciatura
44,36,12544,7.8,Servicios,Secundaria
32,38,9263,3.4,Industria,Licenciatura
43,47,10205,8.4,Servicios,Posgrado
46,32,4865,8.9,Servicios,Licenciatura
47,52,5626,2.3,Construccion,Bachillerato
32,44,9898,3.7,Comercio,Bachillerato
31,42,28133,1.1,Comercio,Bachillerato
43,44,24731,4.5,Comercio,Bachillerato
24,45,40589,2.9,Construccion,Licenciatura
36,42,32477,10.5,Industria,Secundaria
50,45,7293,9.7,Construccion,Bachillerato
44,49,17214,4.8,Servicios,Licenciatura
44,44,28769,2.1,Gobierno,Licenciatura
45,56,6136,22.9,Industria,Bachillerato
32,39,13308,4.7,Servicios,Posgrado
19,41,15200,5.5,Comercio,Licenciatura
39,48,9812,8.8,Comercio,Secundaria
52,56,22239,4.2,Gobierno,Secundaria
50,49,10898,2.7,Comercio,Licenciatura
32,37,18503,9.0,Servicios,Secundaria
41,43,10745,10.3,Servicios,Licenciatura
33,53,17867,20.6,Construccion,Posgrado
52,41,24260,10.0,Industria,Bachillerato
48,35,14070,18.9,Servicios,Bachillerato
43,49,21419,5.2,Servicios,Licenciatura
40,28,18570,13.2,Industria,Licenciatura
39,45,2774,9.9,Comercio,Bachillerato
26,39,16060,19.9,Comercio,Licenciatura
50,46,14064,7.2,Industria,Licenciatura
40,40,18298,3.5,Servicios,Licenciatura
44,38,14819,5.8,Industria,Posgrado
41,58,29115,5.6,Comercio,Secundaria
33,42,11683,3.0,Industria,Bachillerato
51,47,28556,3.1,Comercio,Licenciatura
42,43,29579,11.7,Servicios,Secundaria
63,44,15919,9.2,Industria,Bachillerato
42,45,9216,4.9,Comercio,Licenciatura
39,52,30768,5.3,Construccion,Bachillerato
43,44,40784,25.9,Servicios,Bachillerato
35,44,32920,4.8,Comercio,Secundaria
56,55,9450,4.7,Comercio,Secundaria
58,54,12820,7.2,Servicios,Licenciatura
33,42,27917,19.8,Industria,Bachillerato
36,52,23349,5.4,Industria,Bachillerato
40,46,10750,3.5,Gobierno,Bachillerato
51,39,13661,12.6,Gobierno,Posgrado
25,42,16134,4.3,Comercio,Licenciatura
38,52,11859,6.9,Industria,Licenciatura
34,42,12549,15.2,Servicios,Secundaria
46,45,20053,12.4,Comercio,Bachillerato
51,48,15583,7.9,Comercio,Secundaria
30,48,20530,3.0,Industria,Bachillerato
42,32,6654,10.0,Construccion,Bachillerato
44,46,11552,2.0,Servicios,Posgrado
50,26,18557,2.1,Servicios,Secundaria
40,85,13792,5.7,Servicios,Bachillerato
31,40,11646,3.5,Industria,Licenciatura
33,46,24257,6.7,Industria,Licenciatura
39,34,3081,3.1,Industria,Secundaria
44,48,8721,5.5,Comercio,Licenciatura
42,47,13663,10.9,Servicios,Secundaria
42,46,12091,3.2,Industria,Licenciatura
36,38,25152,3.9,Gobierno,Licenciatura
37,41,25823,2.9,Servicios,Posgrado
44,55,10560,3.2,Servicios,Secundaria
37,44,10463,7.1,Comercio,Bachillerato
42,40,20314,4.0,Servicios,Secundaria
39,56,12141,10.9,Comercio,Licenciatura
36,34,21292,13.8,Industria,Bachillerato
37,46,6151,1.4,Servicios,Bachillerato
28,37,8091,1.4,Comercio,Secundaria
34,52,17364,11.2,Servicios,Bachillerato
45,52,12428,6.0,Servicios,Secundaria
37,52,12951,6.9,Gobierno,Licenciatura
33,42,26255,7.9,Comercio,Licenciatura
37,40,12308,2.0,Servicios,Secundaria
40,38,11233,6.1,Servicios,Licenciatura
52,44,40867,16.3,Gobierno,Bachillerato
55,39,22877,1.1,Servicios,Secundaria
38,44,14080,11.0,Servicios,Licenciatura
26,32,22304,7.5,Servicios,Bachillerato
18,48,27612,2.8,Construccion,Bachillerato
18,48,8778,5.7,Servicios,Secundaria
31,40,14361,5.5,Servicios,Licenciatura
56,47,5995,5.7,Servicios,Licenciatura
41,54,21792,14.7,Servicios,Secundaria
37,37,14086,9.6,Comercio,Bachillerato
44,40,14298,1.0,Servicios,Secundaria
18,50,5030,14.8,Servicios,Licenciatura
