"Alumno","Semestre","Cr. Apr.","Carga","Promedio","Carrera","localidad","latitud","longitud"
806,1,NA,22,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
807,3,48,32,89.82,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
808,6,139,28,86.07,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
809,3,12,20,79.67,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
810,2,8,20,78,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
811,7,128,18,81.59,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
812,8,150,20,82.48,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
813,2,20,20,88.2,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
814,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
815,4,80,33,92.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
816,1,NA,26,0,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
817,3,52,28,91.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
818,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
819,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
820,5,102,31,86.09,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
821,8,135,20,82.86,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
822,3,48,32,90.45,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
823,3,52,28,88.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
824,6,132,30,82.96,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
825,2,26,26,86.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
826,7,162,36,81.41,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
827,4,72,33,83.81,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
828,1,NA,26,0,"ARQUITECTURA","Las Curras",24.011718,-104.468644
829,3,38,20,81.22,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
830,5,97,26,93.5,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
831,3,52,28,90.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
832,2,26,26,88.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
833,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
834,1,NA,26,0,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
835,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
836,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
837,1,NA,26,0,"ARQUITECTURA","Las Curras",24.011718,-104.468644
838,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
839,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
840,5,110,32,92.29,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
841,3,54,32,83.58,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
842,5,110,32,93.08,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
843,3,16,22,89.75,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
844,4,80,30,89.72,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
845,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
846,5,110,32,89.42,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
847,2,26,26,84.5,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
848,1,NA,26,0,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
849,8,114,20,77.46,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
850,5,66,20,84.19,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
851,2,22,22,85.4,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
852,2,20,20,90.4,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
853,2,24,22,87,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
854,2,20,20,83.8,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
855,8,146,20,79.94,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
856,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
857,6,134,25,84.39,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
858,5,80,25,86.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
859,8,140,22,82.84,"ARQUITECTURA","Las Curras",24.011718,-104.468644
860,4,80,33,90.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
861,7,162,28,88.37,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
862,4,80,30,89.61,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
863,3,52,28,90,"ARQUITECTURA","Las Curras",24.011718,-104.468644
864,5,110,32,87.54,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
865,7,162,32,89.03,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
866,6,142,28,88.53,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
867,3,52,28,90.25,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
868,1,NA,26,0,"ARQUITECTURA","Las Curras",24.011718,-104.468644
869,2,26,26,87.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
870,2,20,26,86,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
871,7,166,32,87.94,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
872,7,166,28,86.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
873,8,195,28,92.55,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
874,5,87,31,89.1,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
875,4,70,32,85.75,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
876,3,52,28,89.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
877,8,189,25,83.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
878,3,44,22,88.2,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
879,3,52,28,90.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
880,6,139,27,87.59,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
881,4,80,30,90.72,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
882,5,100,30,84.09,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
883,6,91,30,85.53,"ARQUITECTURA","Las Curras",24.011718,-104.468644
884,2,22,22,82.4,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
885,3,24,18,79.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
886,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
887,2,26,26,87,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
888,3,38,26,78.78,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
889,7,154,24,87.24,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
890,4,50,26,85.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
891,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
892,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
893,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
894,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
895,5,40,8,93.89,"ARQUITECTURA","Las Curras",24.011718,-104.468644
896,2,26,26,87.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
897,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
898,2,16,20,83.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
899,6,146,28,85.19,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
900,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
901,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
902,3,48,24,87.36,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
903,4,76,34,83.65,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
904,4,74,30,85.82,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
905,3,52,28,96,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
906,5,80,30,94,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
907,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
908,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
909,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
910,5,87,35,84,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
911,8,195,25,89.13,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
912,7,155,27,83.13,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
913,7,170,28,86.97,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
914,7,162,32,88.44,"ARQUITECTURA","Las Curras",24.011718,-104.468644
915,5,88,21,86.45,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
916,8,198,25,85.93,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
917,8,198,25,91.93,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
918,2,26,26,84.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
919,6,142,28,91.3,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
920,3,52,22,84.42,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
921,2,26,26,88.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
922,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
923,4,80,30,93.39,"ARQUITECTURA","Las Curras",24.011718,-104.468644
924,2,20,20,87,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
925,4,80,30,93.39,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
926,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
927,5,89,23,87.95,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
928,8,198,25,85.88,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
929,2,26,30,91,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
930,6,131,31,80.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
931,6,135,31,89.5,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
932,4,74,30,87.12,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
933,6,133,30,90.29,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
934,7,170,28,88.58,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
935,6,142,24,91.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
936,4,80,26,83.61,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
937,3,52,22,86.58,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
938,1,NA,26,0,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
939,4,88,25,95.25,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
940,6,138,24,84.66,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
941,4,40,18,79.6,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
942,5,88,30,83.32,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
943,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
944,6,115,25,82.36,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
945,6,134,24,87.86,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
946,7,170,28,84.86,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
947,8,198,25,92.07,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
948,7,166,28,85.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
949,2,26,26,87.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
950,8,140,20,82.57,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
951,4,52,18,80.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
952,3,48,22,88.73,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
953,6,138,24,90,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
954,3,26,22,84.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
955,4,88,30,89.05,"ARQUITECTURA","Las Curras",24.011718,-104.468644
956,7,170,28,87.56,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
957,8,162,24,82.57,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
958,1,NA,26,0,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
959,4,80,30,84.17,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
960,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
961,4,46,18,83.55,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
962,3,38,26,87.44,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
963,5,110,32,90.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
964,4,66,34,82.33,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
965,5,110,32,88.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
966,5,32,18,82.5,"ARQUITECTURA","Las Curras",24.011718,-104.468644
967,1,NA,26,0,"ARQUITECTURA","Las Curras",24.011718,-104.468644
968,2,20,20,86.2,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
969,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
970,6,28,28,92.6,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
971,4,28,22,79.86,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
972,5,104,32,89.96,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
973,2,26,26,88.5,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
974,3,52,28,85.75,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
975,6,135,23,83.43,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
976,4,76,28,92.24,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
977,7,104,36,84.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
978,3,52,28,86.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
979,4,80,30,90.06,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
980,8,81,29,79.68,"ARQUITECTURA","Las Curras",24.011718,-104.468644
981,5,110,32,89.5,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
982,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
983,4,80,30,90.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
984,6,120,28,85.59,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
985,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
986,1,NA,26,0,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
987,1,NA,26,0,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
988,7,158,36,84.97,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
989,3,48,32,87,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
990,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
991,4,72,31,88.25,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
992,4,72,26,87.38,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
993,7,127,14,84.68,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
994,2,26,26,86.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
995,7,166,32,85.6,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
996,7,174,28,87.59,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
997,2,20,26,84.2,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
998,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
999,2,22,22,84.6,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1000,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1001,3,52,24,90.5,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1002,6,125,25,82.81,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1003,2,26,26,90.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1004,5,110,32,90.13,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1005,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1006,7,139,23,88.79,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1007,3,34,32,88.13,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1008,2,26,26,92.33,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1009,4,64,28,89.67,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
1010,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1011,7,186,25,90.26,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1012,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1013,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1014,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1015,4,80,33,95.61,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1016,6,142,24,88.6,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1017,8,198,25,85.56,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1018,2,26,26,87.83,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1019,3,52,28,89.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1020,5,58,20,84.62,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
1021,7,107,33,80.13,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
1022,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1023,2,4,18,70,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1024,8,190,25,85.41,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1025,5,98,23,85.59,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1026,8,168,35,82.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1027,6,138,24,84.55,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1028,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1029,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1030,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1031,2,26,26,87.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1032,6,118,20,83.63,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1033,5,80,29,92.56,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1034,7,166,32,86.74,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1035,3,52,28,90.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1036,1,NA,26,0,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1037,4,64,30,84.8,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1038,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1039,2,22,26,89.2,"ARQUITECTURA","Las Curras",24.011718,-104.468644
1040,3,48,32,92.18,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1041,5,110,32,91.13,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1042,5,102,25,87.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1043,2,26,26,88.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1044,8,119,20,79.08,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1045,4,80,30,86.56,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1046,6,135,27,88.79,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
1047,6,142,24,89.47,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1048,5,110,32,95.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1049,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1050,8,147,27,82.87,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1051,6,127,24,88.19,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1052,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1053,6,147,31,85.47,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
1054,5,92,18,86.52,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1055,4,76,28,92.12,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1056,4,68,30,80.8,"ARQUITECTURA","Las Curras",24.011718,-104.468644
1057,2,20,22,77.6,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1058,7,159,32,84.18,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1059,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1060,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1061,8,168,32,82.86,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1062,5,98,30,85.23,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1063,8,152,26,81.79,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1064,2,20,20,84.6,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1065,2,26,26,86.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1066,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1067,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1068,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1069,8,200,23,90.29,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
1070,8,202,25,82.59,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1071,3,48,32,85.64,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1072,3,24,28,87.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1073,4,68,30,86.53,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1074,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1075,6,142,24,87.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1076,5,110,32,86.88,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1077,5,84,30,79.16,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1078,6,125,29,85.37,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1079,2,26,26,90.17,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1080,2,4,22,90,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1081,4,60,34,87.14,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1082,2,26,26,86.5,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1083,8,107,17,82.38,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1084,5,102,27,93.82,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1085,1,NA,26,0,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1086,1,NA,26,0,"ARQUITECTURA","Las Curras",24.011718,-104.468644
1087,2,26,26,89,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1088,6,79,27,84.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1089,6,133,30,86.93,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1090,4,80,30,86.72,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1091,4,34,28,79.25,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1092,3,40,24,88.56,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1093,1,NA,26,0,"ARQUITECTURA","Los Caballos de Don Cruz",23.957366,-104.55193
1094,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1095,5,54,12,84.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1096,2,26,26,89.67,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1097,7,139,24,84.62,"ARQUITECTURA","La Esperanza",23.921388,-105.297257
1098,2,26,26,89.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1099,3,48,26,86.09,"ARQUITECTURA","Las Curras",24.011718,-104.468644
1100,6,100,20,86.64,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1101,5,104,36,87.52,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
1102,3,52,28,88.33,"ARQUITECTURA","Las Curras",24.011718,-104.468644
1103,3,32,26,85.5,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
1104,5,110,32,87.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1105,3,52,28,88.83,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1106,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1107,2,26,26,84.5,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1108,5,78,34,85.56,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1109,5,110,32,87.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1110,7,198,25,85.54,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1111,2,26,26,92.33,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1112,3,38,26,83.78,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1113,8,178,29,86.29,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1114,2,20,20,82.2,"ARQUITECTURA","La Criba (Don Toño)",24.180146,-104.548244
1115,4,56,26,83.85,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1116,3,32,18,79.29,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1117,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1118,1,NA,26,0,"ARQUITECTURA","Los Arroyos (Las Colonias)",23.691424,-105.032756
1119,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1120,8,198,25,87.1,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1121,1,NA,26,0,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
1122,8,152,26,81.3,"ARQUITECTURA","Victoria de Durango",24.023988,-104.670194
