Alumno,Semestre,Cr. Apr.,Carga,Promedio,Carrera
1518,2,23,29,90.67,BIOQUIMICA
1519,6,92,33,83.19,BIOQUIMICA
1520,7,76,29,79.59,BIOQUIMICA
1521,3,34,28,82.75,BIOQUIMICA
1522,5,84,34,80.16,BIOQUIMICA
1523,4,67,27,82,BIOQUIMICA
1524,8,151,35,84.09,BIOQUIMICA
1525,3,47,27,83.73,BIOQUIMICA
1526,6,99,26,83.5,BIOQUIMICA
1527,8,189,24,82.9,BIOQUIMICA
1528,1,,23,0,BIOQUIMICA
1529,7,165,31,83.49,BIOQUIMICA
1530,6,104,27,82.09,BIOQUIMICA
1531,1,,23,0,BIOQUIMICA
1532,3,47,25,87.09,BIOQUIMICA
1533,5,52,5,81.75,BIOQUIMICA
1534,6,134,24,83.48,BIOQUIMICA
1535,5,104,30,91.83,BIOQUIMICA
1536,1,,23,0,BIOQUIMICA
1537,1,,23,0,BIOQUIMICA
1538,4,82,28,84.5,BIOQUIMICA
1539,1,,23,0,BIOQUIMICA
1540,1,,23,0,BIOQUIMICA
1541,3,52,30,94.25,BIOQUIMICA
1542,5,110,30,89,BIOQUIMICA
1543,3,47,25,81.55,BIOQUIMICA
1544,2,23,29,81.33,BIOQUIMICA
1545,2,23,29,88.67,BIOQUIMICA
1546,6,135,30,83.9,BIOQUIMICA
1547,1,,23,0,BIOQUIMICA
1548,6,140,30,84.27,BIOQUIMICA
1549,3,52,30,88.67,BIOQUIMICA
1550,4,82,28,86.44,BIOQUIMICA
1551,7,156,35,87.36,BIOQUIMICA
1552,1,,23,0,BIOQUIMICA
1553,4,79,26,87.61,BIOQUIMICA
1554,4,57,27,87.31,BIOQUIMICA
1555,3,52,30,91.42,BIOQUIMICA
1556,5,110,30,85.71,BIOQUIMICA
1557,1,,23,0,BIOQUIMICA
1558,5,105,35,83.43,BIOQUIMICA
1559,3,49,30,91.18,BIOQUIMICA
1560,7,170,31,95.08,BIOQUIMICA
1561,1,,23,0,BIOQUIMICA
1562,6,98,28,83.68,BIOQUIMICA
1563,3,52,30,91.92,BIOQUIMICA
1564,3,57,25,92.31,BIOQUIMICA
1565,1,,23,0,BIOQUIMICA
1566,1,,23,0,BIOQUIMICA
1567,5,38,20,77.89,BIOQUIMICA
1568,1,,23,0,BIOQUIMICA
1569,10,152,27,76.81,CIVIL
1570,9,167,20,80.03,CIVIL
1571,10,191,20,78,CIVIL
1572,9,193,28,80.22,CIVIL
1573,9,205,30,78.67,CIVIL
1574,12,230,5,79.42,CIVIL
1575,10,225,10,80.04,CIVIL
1576,9,119,11,77.4,CIVIL
1577,9,165,16,78.86,CIVIL
1578,10,205,25,81.95,CIVIL
1579,9,124,24,80.12,CIVIL
1580,9,119,29,80.12,CIVIL
1581,12,211,19,81.14,CIVIL
1582,12,210,20,78.2,CIVIL
1583,9,209,26,82.25,CIVIL
1584,9,230,5,83.79,CIVIL
1585,9,176,34,79.03,CIVIL
1586,10,205,20,78.95,CIVIL
1587,10,216,14,78.87,CIVIL
1588,9,225,10,81.28,CIVIL
1589,9,235,10,86.22,CIVIL
1590,9,230,5,80.15,CIVIL
1591,10,225,15,80.28,CIVIL
1592,9,196,15,81.88,CIVIL
1593,10,205,25,81.16,CIVIL
1594,8,204,31,84.47,CIVIL
1595,10,210,15,81.75,CIVIL
1596,12,214,10,76.71,CIVIL
1597,10,179,22,80.32,CIVIL
1598,12,219,11,78.43,CIVIL
1599,10,230,5,78.33,CIVIL
1600,9,225,20,85.02,CIVIL
1601,10,226,9,79.77,CIVIL
1602,12,179,35,79.74,CIVIL
1603,10,231,4,84.83,CIVIL
1604,10,188,13,85.31,CIVIL
1605,9,185,36,82.41,CIVIL
1606,12,196,9,78.76,CIVIL
1607,10,231,4,83.15,CIVIL
1608,9,235,10,79.27,CIVIL
1609,9,220,15,81.02,CIVIL
1610,9,166,26,81.14,CIVIL
1611,10,196,24,79.02,CIVIL
1612,9,235,10,83.69,CIVIL
1613,9,225,10,86.87,CIVIL
1614,9,235,10,82.78,CIVIL
1615,12,197,19,80.24,CIVIL
1616,10,115,30,80.33,CIVIL
1617,9,220,15,84.22,CIVIL
1618,11,185,30,79.18,CIVIL
1619,9,225,10,84.85,CIVIL
1620,9,215,20,86.62,CIVIL
1621,9,220,15,83.22,CIVIL
1622,11,230,5,81.6,CIVIL
1623,12,160,35,80.68,CIVIL
1624,11,221,14,79.46,CIVIL
1625,12,220,15,78.48,CIVIL
1626,10,220,15,82.41,CIVIL
1627,10,181,19,82.39,CIVIL
1628,10,156,20,81.97,CIVIL
1629,9,211,24,86.23,CIVIL
1630,10,143,8,79.3,CIVIL
1631,9,230,15,94.65,CIVIL
1632,9,159,15,80.15,CIVIL
1633,11,206,29,79.65,CIVIL
1634,12,155,30,78.97,CIVIL
1635,9,193,33,81.6,CIVIL
1636,10,235,10,80.49,CIVIL
1637,9,216,19,83.33,CIVIL
1638,9,230,5,93.83,CIVIL
1639,10,211,19,80.45,CIVIL
1640,8,205,30,85.33,CIVIL
1641,9,192,25,82.97,CIVIL
1642,9,141,25,83.5,CIVIL
1643,11,230,5,81.92,CIVIL
1644,11,215,20,83.33,CIVIL
1645,10,176,19,80.84,CIVIL
1646,9,133,33,79.54,CIVIL
1647,9,221,14,86.43,CIVIL
1648,10,220,15,83.24,CIVIL
1649,9,235,10,92.24,CIVIL
1650,9,235,10,91,CIVIL
1651,12,226,9,78.57,CIVIL
1652,10,230,5,82.81,CIVIL
1653,11,235,10,82.84,CIVIL
1654,10,171,32,78.42,CIVIL
1655,9,226,9,84,CIVIL
1656,12,179,33,77.27,CIVIL
1657,9,211,24,83.09,CIVIL
1658,11,209,21,78.93,CIVIL
1659,8,187,28,84.51,CIVIL
1660,15,215,30,76.49,CIVIL
1661,9,235,10,90.06,CIVIL
1662,12,215,10,79.8,CIVIL
1663,10,221,24,77.26,CIVIL
1664,9,132,31,79.79,CIVIL
1665,9,230,5,86.79,CIVIL
1666,10,174,28,77.83,CIVIL
1667,10,156,24,79.03,CIVIL
1668,12,230,5,78.77,CIVIL
1669,9,217,18,84.13,CIVIL
1670,1,,27,0,CIVIL
1671,1,,27,0,CIVIL
1672,5,122,24,88.62,CIVIL
1673,1,,27,0,CIVIL
1674,3,48,29,80.7,CIVIL
1675,3,57,28,87.17,CIVIL
1676,2,22,20,89.2,CIVIL
1677,5,96,30,85.95,CIVIL
1678,5,71,35,86.2,CIVIL
1679,7,179,28,83.89,CIVIL
1680,4,64,29,82.64,CIVIL
1681,1,,27,0,CIVIL
1682,7,166,35,83.91,CIVIL
1683,2,27,30,89,CIVIL
1684,4,70,29,82.13,CIVIL
1685,2,27,30,88.67,CIVIL
1686,3,30,8,76.71,CIVIL
1687,1,,27,0,CIVIL
1688,1,,27,0,CIVIL
1689,8,171,36,78,CIVIL
1690,3,47,33,87.5,CIVIL
1691,4,75,32,84.19,CIVIL
1692,8,193,27,80.38,CIVIL
1693,5,99,34,86.52,CIVIL
1694,3,67,36,89.29,CIVIL
1695,8,197,29,83.34,CIVIL
1696,1,,27,0,CIVIL
1697,6,106,20,79.78,CIVIL
1698,2,27,27,91.17,CIVIL
1699,2,12,32,86,CIVIL
1700,7,137,30,84.97,CIVIL
1701,5,97,34,88.62,CIVIL
1702,4,71,32,83,CIVIL
1703,4,71,28,86.47,CIVIL
1704,4,78,20,81.53,CIVIL
1705,3,52,22,80.91,CIVIL
1706,1,,27,0,CIVIL
1707,6,61,27,79.92,CIVIL
1708,4,74,35,78.69,CIVIL
1709,5,67,8,82.71,CIVIL
1710,2,27,30,88.5,CIVIL
1711,6,108,35,78.78,CIVIL
1712,6,80,21,80.47,CIVIL
1713,2,18,30,82,CIVIL
1714,3,57,33,86.83,CIVIL
1715,7,127,36,84.26,CIVIL
1716,2,27,26,92.83,CIVIL
1717,7,163,24,83.71,CIVIL
1718,8,133,30,81.1,CIVIL
1719,6,143,30,94.17,CIVIL
1720,7,168,31,81.29,CIVIL
1721,8,162,28,84.24,CIVIL
1722,1,,27,0,CIVIL
1723,1,,27,0,CIVIL
1724,6,143,26,85.47,CIVIL
1725,5,104,29,84.32,CIVIL
1726,2,27,30,93.83,CIVIL
1727,3,36,27,83.63,CIVIL
1728,4,31,8,81.29,CIVIL
1729,8,173,32,88.81,CIVIL
1730,4,70,27,82.6,CIVIL
1731,8,187,25,86.03,CIVIL
1732,3,42,24,84.6,CIVIL
1733,4,87,34,89.05,CIVIL
1734,6,154,30,81.88,CIVIL
1735,4,73,29,81.75,CIVIL
1736,3,47,33,87.8,CIVIL
1737,1,,27,0,CIVIL
1738,1,,27,0,CIVIL
1739,4,71,27,85.19,CIVIL
1740,5,113,30,88.63,CIVIL
1741,2,27,21,84.17,CIVIL
1742,2,27,30,88.83,CIVIL
1743,1,,27,0,CIVIL
1744,3,44,26,82.6,CIVIL
1745,8,150,19,81.06,CIVIL
1746,4,71,26,80.87,CIVIL
1747,5,120,30,92.65,CIVIL
1748,3,42,25,85.11,CIVIL
1749,6,132,29,78.14,CIVIL
1750,2,27,27,90.33,CIVIL
1751,7,175,24,87.25,CIVIL
1752,1,,27,0,CIVIL
1753,5,112,29,95.29,CIVIL
1754,2,27,35,85.33,CIVIL
1755,5,112,29,90,CIVIL
1756,4,71,31,79.8,CIVIL
1757,1,,27,0,CIVIL
1758,4,80,34,85.94,CIVIL
1759,7,168,30,83.54,CIVIL
1760,8,199,31,86.54,CIVIL
1761,6,117,30,78.36,CIVIL
1762,1,,27,0,CIVIL
1763,4,100,33,84.52,CIVIL
1764,1,,27,0,CIVIL
1765,5,107,35,87.74,CIVIL
1766,4,65,30,82.43,CIVIL
1767,2,23,29,90.4,CIVIL
1768,6,139,30,85.21,CIVIL
1769,7,165,33,82.26,CIVIL
1770,2,27,30,89.67,CIVIL
1771,2,22,29,89.2,CIVIL
1772,1,,27,0,CIVIL
1773,4,78,28,81.59,CIVIL
1774,6,143,30,87.7,CIVIL
1775,3,20,23,82.5,CIVIL
1776,1,,27,0,CIVIL
1777,4,80,27,80.65,CIVIL
1778,5,97,34,85.1,CIVIL
1779,1,,27,0,CIVIL
1780,2,27,30,89.33,CIVIL
1781,2,27,30,91.83,CIVIL
1782,6,111,34,83.13,CIVIL
1783,2,27,30,92.67,CIVIL
1784,3,40,26,80.33,CIVIL
1785,7,145,19,80.23,CIVIL
1786,4,71,28,88.33,CIVIL
1787,4,84,33,85.56,CIVIL
1788,4,84,30,83.67,CIVIL
1789,6,143,30,84.63,CIVIL
1790,3,57,29,88.92,CIVIL
1791,3,57,29,93.92,CIVIL
1792,8,114,28,77.71,CIVIL
1793,3,57,29,90.08,CIVIL
1794,6,137,34,87.66,CIVIL
1795,1,,27,0,CIVIL
1796,1,,27,0,CIVIL
1797,5,77,21,83,CIVIL
1798,6,116,34,84.04,CIVIL
1799,5,109,34,83.74,CIVIL
1800,4,84,35,85.61,CIVIL
1801,1,,27,0,CIVIL
1802,8,215,20,89.16,CIVIL
1803,4,86,31,86.28,CIVIL
1804,3,57,29,90.17,CIVIL
1805,5,107,20,87.57,CIVIL
1806,6,90,32,82.53,CIVIL
1807,3,63,28,77.08,CIVIL
1808,5,98,35,84.29,CIVIL
1809,6,138,33,89.17,CIVIL
1810,5,109,30,82.48,CIVIL
1811,7,183,33,83.53,CIVIL
1812,6,89,33,82.11,CIVIL
1813,2,27,30,85.83,CIVIL
1814,2,27,27,88.67,CIVIL
1815,1,,27,0,CIVIL
1816,4,85,34,84.44,CIVIL
1817,4,86,26,84.39,CIVIL
1818,4,71,27,84.07,CIVIL
1819,1,,27,0,CIVIL
1820,7,133,34,85.93,CIVIL
1821,1,,27,0,CIVIL
1822,2,22,34,86.4,CIVIL
1823,2,27,27,88.67,CIVIL
1824,5,97,26,83.45,CIVIL
1825,8,197,28,83.59,CIVIL
1826,7,173,8,92.28,CIVIL
1827,1,,27,0,CIVIL
1828,8,109,10,81.48,CIVIL
1829,6,97,28,79.57,CIVIL
1830,1,,27,0,CIVIL
1831,7,164,34,85.15,CIVIL
1832,3,42,24,84.8,CIVIL
1833,5,61,34,84,CIVIL
1834,7,101,29,78.19,CIVIL
1835,4,85,26,91,CIVIL
1836,7,129,8,79.96,CIVIL
1837,6,112,35,80.13,CIVIL
1838,2,27,34,89,CIVIL
1839,3,57,29,91.83,CIVIL
1840,6,143,30,84.7,CIVIL
1841,2,19,30,78.5,CIVIL
1842,1,,27,0,CIVIL
1843,3,47,22,83.5,CIVIL
1844,3,56,32,90,CIVIL
1845,5,118,35,85.56,CIVIL
1846,4,76,31,84.94,CIVIL
1847,5,122,30,86,CIVIL
1848,6,123,35,76.5,CIVIL
1849,3,57,29,91,CIVIL
1850,1,,27,0,CIVIL
1851,8,154,35,84.13,CIVIL
1852,5,98,35,82.1,CIVIL
1853,5,113,20,82.88,CIVIL
1854,4,70,32,81.53,CIVIL
1855,7,156,34,81.97,CIVIL
1856,4,4,25,75,CIVIL
1857,4,73,33,82.56,CIVIL
1858,5,108,30,85.65,CIVIL
1859,2,27,31,78.5,CIVIL
1860,2,27,30,89.83,CIVIL
1861,3,43,28,82,CIVIL
1862,7,155,27,80.16,CIVIL
1863,2,27,30,88.33,CIVIL
1864,6,108,23,83.82,CIVIL
1865,7,168,30,83.23,CIVIL
1866,5,105,27,80.73,CIVIL
1867,1,,27,0,CIVIL
1868,4,75,29,80.5,CIVIL
1869,3,57,24,90.83,CIVIL
1870,7,95,31,78.19,CIVIL
1871,6,97,28,78.81,CIVIL
1872,3,42,34,80.89,CIVIL
1873,1,,27,0,CIVIL
1874,6,76,32,81.88,CIVIL
1875,5,105,28,85.86,CIVIL
1876,5,109,28,92.35,CIVIL
1877,6,143,30,89.77,CIVIL
1878,6,138,35,82.59,CIVIL
1879,1,,27,0,CIVIL
1880,8,203,27,86.45,CIVIL
1881,1,,27,0,CIVIL
1882,3,36,25,81.5,CIVIL
1883,2,27,30,88.83,CIVIL
1884,8,93,14,77.11,CIVIL
1885,3,57,29,81.92,CIVIL
1886,4,51,31,78.83,CIVIL
1887,7,176,36,86.65,CIVIL
1888,4,90,33,87.95,CIVIL
1889,3,54,32,83,CIVIL
1890,6,94,28,80.7,CIVIL
1891,7,161,35,83.06,CIVIL
1892,3,42,23,90.67,CIVIL
1893,8,188,28,86.08,CIVIL
1894,3,67,36,87.86,CIVIL
1895,3,52,36,78.45,CIVIL
1896,6,131,29,87,CIVIL
1897,4,75,34,82.81,CIVIL
1898,8,182,28,86.76,CIVIL
1899,7,153,36,85.36,CIVIL
1900,1,,27,0,CIVIL
1901,5,117,31,87.08,CIVIL
1902,6,143,30,92.97,CIVIL
1903,2,27,26,83.67,CIVIL
1904,2,40,25,84.89,CIVIL
1905,7,154,32,82.64,CIVIL
1906,4,52,17,82.55,CIVIL
1907,5,71,28,81.2,CIVIL
1908,7,173,30,90.36,CIVIL
1909,8,197,28,87.29,CIVIL
1910,2,27,30,88.5,CIVIL
1911,8,175,32,83.92,CIVIL
1912,1,,27,0,CIVIL
1913,4,65,27,83.14,CIVIL
1914,2,27,30,90.67,CIVIL
1915,1,,27,0,CIVIL
1916,6,138,35,85.66,CIVIL
1917,4,37,35,79.5,CIVIL
1918,5,48,20,80.1,CIVIL
1919,8,203,22,93.62,CIVIL
1920,5,121,24,92.54,CIVIL
1921,3,52,34,86.64,CIVIL
1922,1,,27,0,CIVIL
1923,8,172,29,78.36,CIVIL
1924,5,114,27,88.29,CIVIL
1925,6,134,34,81.79,CIVIL
1926,7,197,10,80.07,CIVIL
1927,8,150,21,79.65,CIVIL
1928,5,100,19,80,CIVIL
1929,8,142,24,79.1,CIVIL
1930,6,143,30,87.23,CIVIL
1931,7,103,14,84.86,CIVIL
1932,3,57,24,88.5,CIVIL
1933,1,,27,0,CIVIL
1934,1,,27,0,CIVIL
1935,8,128,36,79.56,CIVIL
1936,5,103,33,85.86,CIVIL
1937,8,186,34,81.72,CIVIL
1938,2,27,30,85,CIVIL
1939,1,,27,0,CIVIL
1940,8,192,33,81.85,CIVIL
1941,3,57,29,85.58,CIVIL
1942,3,57,29,85.83,CIVIL
1943,1,,27,0,CIVIL
1944,5,118,23,94.08,CIVIL
1945,3,55,30,87.33,CIVIL
1946,5,112,29,88.5,CIVIL
1947,6,112,28,80.64,CIVIL
1948,7,172,30,88.78,CIVIL
1949,8,137,33,79.45,CIVIL
1950,1,,27,0,CIVIL
1951,1,,27,0,CIVIL
1952,3,32,34,82.14,CIVIL
1953,6,143,26,86.83,CIVIL
1954,1,,27,0,CIVIL
1955,4,69,28,83.27,CIVIL
1956,1,,27,0,CIVIL
1957,6,109,25,85.74,CIVIL
1958,1,,27,0,CIVIL
1959,1,,27,0,CIVIL
1960,5,109,23,83.7,CIVIL
1961,5,112,19,90.21,CIVIL
1962,1,,27,0,CIVIL
1963,7,167,36,85.6,CIVIL
1964,1,,26,0,CIVIL
1965,4,80,27,90.71,CIVIL
1966,6,135,32,80.52,CIVIL
1967,1,,27,0,CIVIL
1968,2,23,29,85.8,CIVIL
1969,1,,27,0,CIVIL
1970,8,187,20,82.87,CIVIL
1971,4,80,28,86.29,CIVIL
1972,5,82,31,80.06,CIVIL
1973,3,47,34,86.6,CIVIL
1974,6,133,30,87.46,CIVIL
1975,4,57,28,80.5,CIVIL
1976,5,113,24,86.04,CIVIL
1977,3,57,29,85.83,CIVIL
1978,5,109,34,86.52,CIVIL
1979,3,42,24,83.5,CIVIL
1980,8,189,32,84.21,CIVIL
1981,6,85,35,81,CIVIL
1982,6,120,31,81.36,CIVIL
1983,2,23,25,85.6,CIVIL
1984,6,133,30,86.79,CIVIL
1985,5,113,30,86.83,CIVIL
1986,2,27,30,90.67,CIVIL
1987,5,101,28,83.71,CIVIL
1988,3,57,29,86.25,CIVIL
1989,6,123,29,84.77,CIVIL
1990,2,27,30,87.83,CIVIL
1991,2,27,30,89.83,CIVIL
1992,7,147,32,81.2,CIVIL
1993,2,27,30,89.83,CIVIL
1994,2,27,27,87,CIVIL
1995,5,104,34,85.68,CIVIL
1996,5,89,23,82.16,CIVIL
1997,6,71,33,78,CIVIL
1998,5,113,30,83.42,CIVIL
1999,3,52,28,80.91,CIVIL
2000,2,16,23,90.5,CIVIL
2001,7,183,28,88.21,CIVIL
2002,7,177,31,86.59,CIVIL
2003,8,178,28,82.76,CIVIL
2004,4,78,18,81.06,CIVIL
2005,8,203,18,88.86,CIVIL
2006,4,64,29,82.07,CIVIL
2007,7,169,28,85.74,CIVIL
2008,2,23,30,76.2,CIVIL
2009,4,82,31,82.71,CIVIL
2010,1,,27,0,CIVIL
2011,1,,27,0,CIVIL
2012,1,,27,0,CIVIL
2013,7,155,36,81.73,CIVIL
2014,6,131,31,81.89,CIVIL
2015,6,128,34,82.52,CIVIL
2016,4,90,23,80.89,CIVIL
2017,2,18,25,88,CIVIL
2018,8,196,29,87.59,CIVIL
2019,4,84,27,88.78,CIVIL
2020,5,108,26,86.13,CIVIL
2021,4,63,29,82.64,CIVIL
2022,4,85,29,84.61,CIVIL
2023,2,4,27,83,CIVIL
2024,2,21,26,90.6,CIVIL
2025,6,93,28,82.7,CIVIL
2026,6,130,35,82.46,CIVIL
2027,1,,27,0,CIVIL
2028,7,123,29,80,CIVIL
2029,6,138,30,79.62,CIVIL
2030,1,,27,0,CIVIL
2031,4,72,27,78.73,CIVIL
2032,6,143,36,86.13,CIVIL
2033,3,52,28,77.73,CIVIL
2034,8,147,33,79.23,CIVIL
2035,4,80,28,86.35,CIVIL
2036,4,22,31,85.8,CIVIL
2037,4,39,33,77.75,CIVIL
2038,2,27,30,95.5,CIVIL
2039,5,105,33,85.14,CIVIL
2040,7,173,30,84.36,CIVIL
2041,8,202,23,95.1,CIVIL
2042,3,58,28,87.42,CIVIL
2043,8,86,18,80.39,CIVIL
2044,1,,27,0,CIVIL
2045,3,61,33,82.92,CIVIL
2046,8,150,33,81.77,CIVIL
2047,8,152,35,80.34,CIVIL
2048,1,,27,0,CIVIL
2049,4,62,32,87.14,CIVIL
2050,8,187,34,87.46,CIVIL
2051,4,82,35,88.24,CIVIL
2052,8,176,26,84.76,CIVIL
2053,5,108,29,86.61,CIVIL
2054,5,112,35,86.88,CIVIL
2055,1,,27,0,CIVIL
2056,8,172,21,88.53,CIVIL
2057,3,57,29,87.92,CIVIL
2058,7,115,33,80.33,CIVIL
2059,7,173,30,89.5,CIVIL
2060,7,173,30,83.47,CIVIL
2061,6,124,31,82.69,CIVIL
2062,1,,27,0,CIVIL
2063,5,121,31,87.12,CIVIL
2064,1,,27,0,CIVIL
2065,3,57,29,88.33,CIVIL
2066,3,57,29,87.83,CIVIL
2067,4,61,23,83.08,CIVIL
2068,6,128,30,80.7,CIVIL
2069,1,,27,0,CIVIL
2070,7,137,25,80.66,CIVIL
2071,7,139,31,77.41,CIVIL
2072,6,137,34,84.52,CIVIL
2073,5,96,17,79.35,CIVIL
2074,5,108,28,91.26,CIVIL
2075,2,23,25,79.8,CIVIL
2076,6,143,30,91,CIVIL
2077,1,,27,0,CIVIL
2078,1,,27,0,CIVIL
2079,7,163,34,85.21,CIVIL
2080,8,207,28,85.02,CIVIL
2081,5,30,10,86.57,CIVIL
2082,8,192,20,86.65,CIVIL
2083,2,27,30,90,CIVIL
2084,2,22,25,85.8,CIVIL
2085,3,48,29,83.7,CIVIL
2086,3,47,29,94.6,CIVIL
2087,7,173,33,82.78,CIVIL
2088,8,148,20,79.06,CIVIL
2089,6,143,30,89.23,CIVIL
2090,4,78,33,83.59,CIVIL
2091,5,113,30,86.08,CIVIL
2092,8,156,20,80.18,CIVIL
2093,2,8,22,82,CIVIL
2094,8,188,25,84.15,CIVIL
2095,8,199,31,87.39,CIVIL
2096,7,175,28,92.08,CIVIL
2097,7,175,23,82.81,CIVIL
2098,2,23,30,77,CIVIL
2099,7,156,30,86.52,CIVIL
2100,8,202,23,85.17,CIVIL
2101,2,23,25,80.8,CIVIL
2102,5,96,36,86.85,CIVIL
2103,3,57,29,87.17,CIVIL
2104,2,22,25,88.2,CIVIL
2105,8,178,30,79.41,CIVIL
2106,5,55,22,80.08,CIVIL
2107,5,107,34,83.48,CIVIL
2108,1,,27,0,CIVIL
2109,2,27,30,91.83,CIVIL
2110,8,202,33,85.79,CIVIL
2111,7,184,27,94.45,CIVIL
2112,5,104,35,87.5,CIVIL
2113,6,143,26,84.2,CIVIL
2114,1,,27,0,CIVIL
2115,1,,27,0,CIVIL
2116,3,57,29,82.75,CIVIL
2117,7,173,34,90.81,CIVIL
2118,4,38,26,81.63,CIVIL
2119,2,18,20,86.75,CIVIL
2120,7,146,21,80.13,CIVIL
2121,4,80,34,85.47,CIVIL
2122,2,27,26,80.17,CIVIL
2123,2,22,29,87.6,CIVIL
2124,5,113,20,82.29,CIVIL
2125,7,167,36,90.26,CIVIL
2126,5,84,23,83.17,CIVIL
2127,7,173,30,89.42,CIVIL
2128,6,118,34,78.44,CIVIL
2129,3,57,29,91.92,CIVIL
2130,2,22,29,88,CIVIL
2131,4,86,31,84.39,CIVIL
2132,3,57,29,89.58,CIVIL
2133,7,183,29,89.66,CIVIL
2134,2,27,30,86.5,CIVIL
2135,6,143,30,85.47,CIVIL
2136,6,112,30,80.04,CIVIL
2137,1,,27,0,CIVIL
2138,5,99,33,84.43,CIVIL
2139,6,143,30,84.77,CIVIL
2140,3,57,29,91.75,CIVIL
2141,1,,27,0,CIVIL
2142,1,,27,0,CIVIL
2143,7,155,17,82.18,CIVIL
2144,8,197,23,81.54,CIVIL
2145,6,143,28,84.2,CIVIL
2146,5,85,34,80.22,CIVIL
2147,8,126,12,80.62,CIVIL
2148,7,119,28,83.36,CIVIL
2149,5,102,33,84.23,CIVIL
2150,6,143,30,86.57,CIVIL
2151,6,143,30,93.1,CIVIL
2152,3,24,20,84.33,CIVIL
2153,2,27,30,90,CIVIL
2154,3,42,32,85.9,CIVIL
2155,2,22,26,93.4,CIVIL
2156,3,48,29,80.4,CIVIL
2157,3,57,31,86.83,CIVIL
2158,2,27,30,93.17,CIVIL
2159,4,18,33,74.75,CIVIL
2160,2,27,30,79.83,CIVIL
2161,3,52,22,84,CIVIL
2162,3,57,29,85.17,CIVIL
2163,1,,27,0,CIVIL
2164,1,,27,0,CIVIL
2165,6,89,33,82.63,CIVIL
2166,1,,27,0,CIVIL
2167,4,72,25,83.63,CIVIL
2168,1,,27,0,CIVIL
2169,6,143,30,90.9,CIVIL
2170,2,27,27,81.33,CIVIL
2171,2,27,30,93.83,CIVIL
2172,6,119,25,80.52,CIVIL
2173,5,109,25,86.48,CIVIL
2174,6,98,34,80.38,CIVIL
2175,7,111,30,86.83,CIVIL
2176,7,179,33,84.08,CIVIL
2177,2,27,30,88.5,CIVIL
2178,1,,27,0,CIVIL
2179,6,141,15,83.23,CIVIL
2180,1,,27,0,CIVIL
2181,1,,27,0,CIVIL
2182,4,89,35,86.79,CIVIL
2183,2,27,30,83.5,CIVIL
2184,1,,27,0,CIVIL
2185,6,102,23,81.95,CIVIL
2186,1,,27,0,CIVIL
2187,8,189,21,83.82,CIVIL
2188,1,,27,0,CIVIL
2189,2,23,25,78.8,CIVIL
2190,3,57,27,92.17,CIVIL
2191,2,27,30,88.5,CIVIL
2192,2,22,25,89.6,CIVIL
2193,1,,27,0,CIVIL
2194,3,43,28,82.44,CIVIL
2195,7,173,30,85.42,CIVIL
2196,5,66,10,79.07,CIVIL
2197,1,,27,0,CIVIL
2198,8,210,20,86.2,CIVIL
2199,2,14,32,83.33,CIVIL
2200,5,55,36,78.83,CIVIL
2201,1,,27,0,CIVIL
2202,1,,27,0,CIVIL
2203,5,58,32,78.5,CIVIL
2204,6,143,28,88.1,CIVIL
2205,4,36,24,79.13,CIVIL
2206,7,165,35,87,CIVIL
2207,6,38,35,77.38,CIVIL
2208,1,,27,0,CIVIL
2209,6,132,36,84.61,CIVIL
2210,4,75,27,82.5,CIVIL
2211,6,143,30,90.67,CIVIL
2212,2,22,25,93.2,CIVIL
2213,2,27,30,87.67,CIVIL
2214,5,32,24,81.29,CIVIL
2215,5,98,35,85.14,CIVIL
2216,3,52,33,84.45,CIVIL
2217,9,220,15,82.56,ELECTRICA
2218,11,235,10,84.19,ELECTRICA
2219,15,225,20,78.45,ELECTRICA
2220,11,235,10,88,ELECTRICA
2221,12,203,22,78.96,ELECTRICA
2222,9,171,32,82.85,ELECTRICA
2223,9,220,15,83.3,ELECTRICA
2224,9,220,15,85.1,ELECTRICA
2225,12,199,26,81.09,ELECTRICA
2226,9,206,20,83.32,ELECTRICA
2227,11,235,10,83.32,ELECTRICA
2228,10,235,10,87.87,ELECTRICA
2229,11,235,10,83.72,ELECTRICA
2230,10,208,18,82.68,ELECTRICA
2231,9,182,32,80.68,ELECTRICA
2232,13,225,10,81.96,ELECTRICA
2233,15,230,5,84.73,ELECTRICA
2234,12,189,27,81.84,ELECTRICA
2235,15,226,19,76.53,ELECTRICA
2236,11,235,10,82.02,ELECTRICA
2237,11,235,10,82.51,ELECTRICA
2238,11,235,10,82.57,ELECTRICA
2239,10,215,15,84.06,ELECTRICA
2240,9,221,14,92.94,ELECTRICA
2241,12,226,19,81.57,ELECTRICA
2242,9,197,19,84.22,ELECTRICA
2243,10,226,9,82.25,ELECTRICA
2244,9,221,14,85.28,ELECTRICA
2245,10,208,18,80.83,ELECTRICA
2246,9,225,10,89.98,ELECTRICA
2247,11,190,31,81.7,ELECTRICA
2248,9,203,28,80.5,ELECTRICA
2249,9,117,20,83.93,ELECTRICA
2250,9,210,20,84.15,ELECTRICA
2251,9,206,19,81.72,ELECTRICA
2252,9,230,5,90.83,ELECTRICA
2253,11,221,14,84.2,ELECTRICA
2254,12,211,24,78.5,ELECTRICA
2255,12,174,28,80.92,ELECTRICA
2256,11,193,28,81.3,ELECTRICA
