"matricula","carrera","genero","promedio","edad","peso","altura"
1525,"ADMINISTRACION","M",87.55,21,73.55,173.55
1526,"BIOQUIMICA","M",88.41,22,76.82,176.82
1527,"ARQUITECTURA","F",92.61,23,59.12,159.12
1528,"ELECTRONICA","M",86.17,21,73.48,173.48
1529,"ARQUITECTURA","M",84.58,21,80.4,180.4
1530,"CIVIL","M",86.95,21,79.77,179.77
1531,"INDUSTRIAL","M",91.73,23,78.59,178.59
1532,"ELECTRICA","F",89.37,22,58.53,158.53
1533,"INFORMATICA","M",83.97,20,77.85,177.85
1534,"ELECTRONICA","M",85.57,21,83.31,183.31
1535,"BIOQUIMICA","F",82.68,20,55.63,155.63
1536,"CIVIL","F",83.64,20,60.7,160.7
1537,"ADMINISTRACION","M",85.49,21,84.17,184.17
1538,"BIOQUIMICA","F",86.24,21,58.94,158.94
1539,"ELECTRONICA","F",84.27,21,65.4,165.4
1540,"SISTEMAS","F",86.77,21,60.68,160.68
1541,"MECANICA","F",81.69,20,59.17,159.17
1542,"ARQUITECTURA","F",83.72,20,58.43,158.43
1543,"INDUSTRIAL","F",84.29,21,62.25,162.25
1544,"ELECTRICA","F",83.17,20,59.82,159.82
1545,"CIVIL","F",83.46,20,60.46,160.46
1546,"INDUSTRIAL","F",91.38,23,62.16,162.16
1547,"INFORMATICA","M",82.83,20,81.34,181.34
1548,"QUIMICA","M",79.47,19,75.07,175.07
1549,"INDUSTRIAL","F",85.63,21,58.76,158.76
1550,"TIC","F",89.16,22,61.5,161.5
1551,"INFORMATICA","M",89.09,22,79.11,179.11
1552,"CIVIL","M",82.69,20,84.27,184.27
1553,"INFORMATICA","F",85.7,21,60.82,160.82
1554,"ARQUITECTURA","F",85.76,21,57.82,157.82
1555,"ARQUITECTURA","M",77.45,19,77.18,177.18
1556,"ELECTRICA","F",87.23,21,59.8,159.8
1557,"MECATRONICA","M",83.39,20,77.8,177.8
1558,"INFORMATICA","M",88.86,22,80.64,180.64
1559,"CIVIL","F",87.62,21,64.55,164.55
1560,"TIC","M",85.89,21,85.96,185.96
1561,"CIVIL","F",90.67,22,60.02,160.02
1562,"ADMINISTRACION","F",86.42,21,61.28,161.28
1563,"CIVIL","F",88.21,22,61.87,161.87
1564,"CIVIL","F",82.88,20,60.13,160.13
1565,"QUIMICA","F",79.62,19,59.61,159.61
1566,"INDUSTRIAL","M",87.99,22,78.94,178.94
1567,"INFORMATICA","M",88.51,22,71.14,171.14
1568,"ADMINISTRACION","F",88.57,22,61.7,161.7
1569,"QUIMICA","M",86.21,21,79.97,179.97
1570,"MECANICA","M",83.48,20,78.85,178.85
1571,"SISTEMAS","F",76.85,18,61.05,161.05
1572,"MECATRONICA","M",90.41,22,77.1,177.1
1573,"BIOQUIMICA","M",78.49,19,81.5,181.5
1574,"MECATRONICA","M",88.63,22,81.25,181.25
1575,"ELECTRONICA","M",77.8,19,83.96,183.96
1576,"MECANICA","F",86.12,21,59.31,159.31
1577,"MECATRONICA","F",88.61,22,57.63,157.63
1578,"CIVIL","M",82.58,20,78.54,178.54
1579,"SISTEMAS","F",81.27,20,61.89,161.89
1580,"SISTEMAS","M",89.56,22,81.48,181.48
1581,"ELECTRICA","M",87.24,21,81.75,181.75
1582,"ELECTRICA","F",81.46,20,61.49,161.49
1583,"ADMINISTRACION","F",85.34,21,59.6,159.6
1584,"QUIMICA","M",87.84,22,77.8,177.8
1585,"ELECTRICA","F",83.89,20,61.4,161.4
1586,"QUIMICA","M",85.84,21,80.94,180.94
1587,"MECANICA","F",87.26,21,58.37,158.37
1588,"ADMINISTRACION","F",93.03,23,60.54,160.54
1589,"TIC","F",83.49,20,60.5,160.5
1590,"INDUSTRIAL","M",85.36,21,81.68,181.68
1591,"ELECTRICA","M",87.69,21,78.63,178.63
1592,"ADMINISTRACION","F",92.56,23,64.22,164.22
1593,"ELECTRONICA","M",92.97,23,83.43,183.43
1594,"INFORMATICA","M",85.62,21,79.55,179.55
1595,"QUIMICA","M",89.17,22,75.65,175.65
1596,"BIOQUIMICA","M",85.87,21,81.87,181.87
1597,"INDUSTRIAL","F",83.56,20,57.45,157.45
1598,"MECANICA","F",83.58,20,57.78,157.78
1599,"QUIMICA","F",84.64,21,62.89,162.89
1600,"QUIMICA","F",79.44,19,61.01,161.01
1601,"INFORMATICA","F",79.43,19,58.44,158.44
1602,"ELECTRICA","F",80.8,20,62.27,162.27
1603,"BIOQUIMICA","M",88.56,22,78.97,178.97
1604,"MECATRONICA","M",89.69,22,77.72,177.72
1605,"SISTEMAS","M",85.4,21,78.33,178.33
1606,"QUIMICA","M",86.04,21,78.94,178.94
1607,"ARQUITECTURA","M",92.19,23,73.13,173.13
1608,"INFORMATICA","F",92.81,23,59.45,159.45
1609,"ADMINISTRACION","M",82.78,20,83.36,183.36
1610,"ARQUITECTURA","F",87.23,21,61.59,161.59
1611,"MECANICA","F",85.66,21,58.02,158.02
1612,"MECANICA","M",87.79,22,80.24,180.24
1613,"INFORMATICA","F",94.53,23,58.79,158.79
1614,"ELECTRICA","F",88.22,22,59.79,159.79
1615,"QUIMICA","F",84.83,21,61.59,161.59
1616,"BIOQUIMICA","F",85.24,21,63.65,163.65
1617,"CIVIL","M",89.87,22,81.99,181.99
1618,"INDUSTRIAL","M",87.37,21,77.06,177.06
1619,"TIC","F",92.49,23,57.71,157.71
1620,"ADMINISTRACION","F",79.76,19,59.24,159.24
1621,"QUIMICA","F",85.03,21,60.08,160.08
1622,"MECANICA","F",85.47,21,57.17,157.17
1623,"MECATRONICA","M",83.93,20,72.95,172.95
1624,"INFORMATICA","M",87.38,21,83.19,183.19
1625,"SISTEMAS","F",89.94,22,57.98,157.98
1626,"ELECTRONICA","M",87.55,21,79.89,179.89
1627,"CIVIL","M",90.4,22,84.1,184.1
1628,"ELECTRICA","F",84.86,21,61.25,161.25
1629,"MECANICA","M",83.69,20,79.48,179.48
1630,"MECANICA","M",86.81,21,78.79,178.79
1631,"TIC","M",92.85,23,81.18,181.18
1632,"SISTEMAS","M",81.14,20,77.73,177.73
1633,"TIC","F",88.35,22,62.35,162.35
1634,"QUIMICA","F",91.63,23,58.69,158.69
1635,"SISTEMAS","F",84.01,20,60.55,160.55
1636,"TIC","F",87.59,21,59.63,159.63
1637,"INFORMATICA","F",87.87,22,57.23,157.23
1638,"MECATRONICA","F",87.3,21,55.32,155.32
1639,"TIC","F",89.83,22,59.83,159.83
1640,"BIOQUIMICA","M",85.33,21,79.59,179.59
1641,"ADMINISTRACION","F",81.25,20,60.76,160.76
1642,"MECATRONICA","M",85.26,21,80.18,180.18
1643,"ELECTRONICA","M",83.02,20,82.15,182.15
1644,"INFORMATICA","M",85.87,21,82.13,182.13
1645,"MECANICA","F",86.31,21,63.08,163.08
1646,"QUIMICA","M",89.56,22,80.9,180.9
1647,"INDUSTRIAL","F",87.13,21,58.09,158.09
1648,"INDUSTRIAL","M",80.77,19,75.56,175.56
1649,"MECANICA","M",85.07,21,79.55,179.55
1650,"MECANICA","F",85.81,21,63.41,163.41
1651,"BIOQUIMICA","F",89.56,22,57.54,157.54
1652,"ELECTRONICA","M",85.37,21,85.85,185.85
1653,"ELECTRONICA","F",89.46,22,58.67,158.67
1654,"BIOQUIMICA","M",83.02,20,80.28,180.28
1655,"ELECTRONICA","F",85.45,21,62.86,162.86
1656,"ADMINISTRACION","F",89.69,22,62.62,162.62
1657,"ADMINISTRACION","F",82.17,20,62.1,162.1
1658,"MECANICA","M",81.11,20,83.49,183.49
1659,"INFORMATICA","F",90.07,22,58.96,158.96
1660,"ARQUITECTURA","F",88.05,22,59.77,159.77
1661,"SISTEMAS","M",93.08,23,80.68,180.68
1662,"ELECTRICA","F",81.98,20,58.42,158.42
1663,"CIVIL","F",87.85,22,64.03,164.03
1664,"QUIMICA","F",84.8,21,57.9,157.9
1665,"CIVIL","F",81.19,20,62.41,162.41
1666,"CIVIL","F",91.53,23,59.82,159.82
1667,"INDUSTRIAL","M",90.79,22,82.26,182.26
1668,"MECATRONICA","M",82.32,20,83.45,183.45
1669,"INFORMATICA","F",87.1,21,57.44,157.44
1670,"QUIMICA","M",89.71,22,84.94,184.94
1671,"CIVIL","F",82.18,20,63.74,163.74
1672,"ADMINISTRACION","F",86.32,21,60.41,160.41
1673,"INDUSTRIAL","M",87.28,21,81.22,181.22
1674,"MECATRONICA","F",84.05,20,59.32,159.32
1675,"ARQUITECTURA","F",84.33,21,58.35,158.35
1676,"CIVIL","F",84.15,20,59.3,159.3
1677,"ARQUITECTURA","F",87.57,21,56.99,156.99
1678,"TIC","F",80.63,19,61.98,161.98
1679,"ADMINISTRACION","M",82.65,20,81.64,181.64
1680,"ELECTRICA","M",81.19,20,84.36,184.36
1681,"ELECTRONICA","F",86.43,21,57.6,157.6
1682,"ARQUITECTURA","F",78.28,19,60.95,160.95
1683,"CIVIL","M",83.21,20,81.17,181.17
1684,"BIOQUIMICA","M",84.42,21,77,177
1685,"ELECTRICA","M",89.18,22,79.25,179.25
1686,"QUIMICA","M",86.9,21,78.03,178.03
1687,"ARQUITECTURA","F",88.63,22,59.34,159.34
1688,"ELECTRONICA","M",84.69,21,83.78,183.78
1689,"TIC","M",85,21,76.01,176.01
1690,"INFORMATICA","M",85.37,21,79.14,179.14
1691,"ELECTRICA","M",88.49,22,80.82,180.82
1692,"TIC","F",90.8,22,57.1,157.1
1693,"SISTEMAS","M",84.86,21,81.1,181.1
1694,"MECANICA","M",87.21,21,85.01,185.01
1695,"MECANICA","F",91.14,22,56.23,156.23
1696,"MECANICA","F",89.96,22,55.99,155.99
1697,"TIC","M",83.66,20,83.33,183.33
1698,"TIC","F",87.3,21,58.93,158.93
1699,"ADMINISTRACION","F",83.26,20,59.17,159.17
1700,"ADMINISTRACION","F",80.71,19,60.98,160.98
1701,"ADMINISTRACION","F",91.55,23,58.34,158.34
1702,"INFORMATICA","F",80.96,20,59.04,159.04
1703,"ELECTRONICA","F",85.39,21,62.84,162.84
1704,"BIOQUIMICA","M",84.43,21,85.5,185.5
1705,"MECANICA","F",90.09,22,59.01,159.01
1706,"CIVIL","M",80.22,19,80.09,180.09
1707,"QUIMICA","M",80.42,19,83.38,183.38
1708,"ARQUITECTURA","M",90.08,22,83.47,183.47
1709,"TIC","F",87.81,22,62.08,162.08
1710,"ELECTRONICA","F",80.76,19,63.11,163.11
1711,"ARQUITECTURA","M",88.78,22,80.94,180.94
1712,"BIOQUIMICA","F",82.79,20,60.03,160.03
1713,"ELECTRONICA","M",88.35,22,78.15,178.15
1714,"INFORMATICA","M",92.8,23,78.77,178.77
1715,"SISTEMAS","F",88.19,22,59.88,159.88
1716,"TIC","M",87.44,21,78.71,178.71
1717,"ELECTRONICA","M",89.82,22,80.24,180.24
1718,"BIOQUIMICA","F",84.73,21,57.01,157.01
1719,"BIOQUIMICA","F",89.58,22,58.29,158.29
1720,"BIOQUIMICA","F",85.76,21,61.47,161.47
1721,"TIC","M",82.05,20,75.68,175.68
1722,"SISTEMAS","F",87.65,21,56.15,156.15
1723,"ARQUITECTURA","F",85.82,21,57.33,157.33
1724,"INFORMATICA","F",83.47,20,61.29,161.29
1725,"ELECTRICA","F",88.63,22,62.95,162.95
1726,"MECANICA","F",89.33,22,61.2,161.2
1727,"ARQUITECTURA","M",88.97,22,75.39,175.39
1728,"MECANICA","F",81.84,20,57.24,157.24
1729,"QUIMICA","F",88.87,22,62.1,162.1
1730,"MECANICA","M",86.04,21,83.78,183.78
1731,"BIOQUIMICA","F",80.56,19,59.98,159.98
1732,"MECANICA","M",87.55,21,78.91,178.91
1733,"CIVIL","M",87.6,21,82.2,182.2
1734,"MECANICA","M",85.74,21,78.12,178.12
1735,"MECATRONICA","M",90.22,22,79.15,179.15
1736,"ARQUITECTURA","F",85.07,21,57.32,157.32
1737,"QUIMICA","F",84.04,20,65.28,165.28
1738,"ELECTRONICA","M",84.91,21,82.17,182.17
1739,"ELECTRONICA","M",87.22,21,86.45,186.45
1740,"CIVIL","M",87.68,21,82.25,182.25
1741,"MECATRONICA","F",87.65,21,61.75,161.75
1742,"ELECTRICA","F",93.12,23,58.72,158.72
1743,"BIOQUIMICA","M",84.68,21,73.29,173.29
1744,"BIOQUIMICA","F",83.99,20,58.11,158.11
1745,"TIC","M",83.83,20,80.67,180.67
1746,"ELECTRICA","F",83.06,20,61.51,161.51
1747,"ELECTRICA","M",86.98,21,80.25,180.25
1748,"QUIMICA","F",84.21,20,56.7,156.7
1749,"SISTEMAS","F",83.94,20,60.92,160.92
1750,"TIC","F",79.27,19,64.58,164.58
1751,"QUIMICA","F",90.08,22,60.14,160.14
1752,"ELECTRONICA","F",82.92,20,56.16,156.16
1753,"ADMINISTRACION","F",90.07,22,59.38,159.38
1754,"ARQUITECTURA","M",85.87,21,78.5,178.5
1755,"MECATRONICA","M",84.72,21,85.41,185.41
1756,"ARQUITECTURA","F",90.58,22,61.02,161.02
1757,"QUIMICA","M",86.59,21,82.29,182.29
1758,"CIVIL","M",84.28,21,81.4,181.4
1759,"ELECTRICA","M",88.78,22,79.93,179.93
1760,"ADMINISTRACION","F",88.39,22,59.43,159.43
1761,"ELECTRONICA","M",87.97,22,78.75,178.75
1762,"MECATRONICA","M",89.77,22,79.32,179.32
1763,"ARQUITECTURA","F",90.69,22,56.89,156.89
1764,"ADMINISTRACION","M",80.41,19,82.09,182.09
1765,"TIC","F",86.44,21,59.18,159.18
1766,"TIC","F",86.67,21,54.07,154.07
1767,"ADMINISTRACION","M",83.85,20,81.43,181.43
1768,"ARQUITECTURA","M",89.26,22,81.88,181.88
1769,"INFORMATICA","M",92.93,23,80.8,180.8
1770,"CIVIL","M",82.59,20,80.97,180.97
1771,"TIC","M",84.66,21,81.15,181.15
1772,"SISTEMAS","F",87.65,21,59.19,159.19
1773,"MECATRONICA","F",86.26,21,59.65,159.65
1774,"MECANICA","M",87.23,21,77.86,177.86
1775,"INDUSTRIAL","F",88.4,22,59.66,159.66
1776,"INDUSTRIAL","F",84.39,21,60.16,160.16
1777,"QUIMICA","M",83.97,20,90.24,190.24
1778,"ADMINISTRACION","M",82.65,20,81.37,181.37
1779,"BIOQUIMICA","M",86.56,21,82.34,182.34
1780,"MECATRONICA","F",90.6,22,63.6,163.6
1781,"SISTEMAS","F",88.45,22,62.43,162.43
1782,"ELECTRICA","F",86.05,21,59.87,159.87
1783,"QUIMICA","F",78.7,19,56.66,156.66
1784,"QUIMICA","M",78.73,19,77.77,177.77
1785,"QUIMICA","M",80.6,19,78.88,178.88
1786,"CIVIL","F",89.96,22,64.12,164.12
1787,"MECANICA","M",83.96,20,81.01,181.01
1788,"CIVIL","F",84,20,58.29,158.29
1789,"BIOQUIMICA","F",85.53,21,61.17,161.17
1790,"MECATRONICA","M",83.13,20,81.43,181.43
1791,"TIC","F",85.19,21,59.58,159.58
1792,"CIVIL","M",85.51,21,79.49,179.49
1793,"BIOQUIMICA","F",86.09,21,59.86,159.86
1794,"QUIMICA","M",86.9,21,78.54,178.54
1795,"BIOQUIMICA","M",86.82,21,77.43,177.43
1796,"SISTEMAS","F",85.04,21,62.75,162.75
1797,"ELECTRICA","M",85.63,21,76.31,176.31
1798,"ADMINISTRACION","M",84.92,21,79.2,179.2
1799,"SISTEMAS","F",84.56,21,59.71,159.71
1800,"MECATRONICA","F",86.83,21,63.77,163.77
1801,"ELECTRICA","M",84.69,21,82.32,182.32
1802,"TIC","F",87.8,22,59.67,159.67
1803,"ADMINISTRACION","M",87.39,21,82.91,182.91
1804,"QUIMICA","M",85.56,21,73.92,173.92
1805,"MECANICA","M",87.73,21,82.51,182.51
1806,"BIOQUIMICA","M",83.6,20,77.27,177.27
1807,"SISTEMAS","M",84.84,21,81.97,181.97
1808,"BIOQUIMICA","M",78.72,19,85.21,185.21
1809,"ELECTRONICA","M",81.54,20,80.84,180.84
1810,"ADMINISTRACION","M",92.13,23,77.93,177.93
1811,"ELECTRICA","M",87.69,21,79.36,179.36
1812,"QUIMICA","M",88.46,22,74.14,174.14
1813,"ADMINISTRACION","M",86.53,21,77.76,177.76
1814,"ADMINISTRACION","M",91.65,23,84.21,184.21
1815,"ARQUITECTURA","M",87.49,21,82.5,182.5
1816,"ELECTRICA","M",82.94,20,78.83,178.83
1817,"INFORMATICA","M",93.43,23,80.21,180.21
1818,"ELECTRONICA","M",82.8,20,86.57,186.57
1819,"CIVIL","M",83.5,20,80.77,180.77
1820,"CIVIL","F",88.58,22,59.26,159.26
1821,"INDUSTRIAL","M",94.7,24,78.78,178.78
1822,"TIC","M",84.67,21,77.89,177.89
1823,"CIVIL","F",82.56,20,60.7,160.7
1824,"MECANICA","M",84.94,21,84.56,184.56
1825,"INDUSTRIAL","F",82,20,61.99,161.99
1826,"MECANICA","F",86.23,21,59.91,159.91
1827,"BIOQUIMICA","M",85.19,21,80.72,180.72
1828,"INFORMATICA","F",90.85,22,56.66,156.66
1829,"ARQUITECTURA","M",92.95,23,77.73,177.73
1830,"MECATRONICA","F",83.55,20,60.04,160.04
1831,"MECATRONICA","M",88.23,22,77.92,177.92
1832,"QUIMICA","F",84.1,20,55.74,155.74
1833,"ELECTRICA","M",86.64,21,82.54,182.54
1834,"ADMINISTRACION","M",82.82,20,75.6,175.6
1835,"ELECTRICA","M",85.53,21,80.39,180.39
1836,"ELECTRONICA","M",81.61,20,77.61,177.61
1837,"QUIMICA","F",82.39,20,52.99,152.99
1838,"INDUSTRIAL","M",87.74,22,81.86,181.86
1839,"ELECTRICA","F",92.65,23,59.9,159.9
1840,"MECANICA","F",84.96,21,54.98,154.98
1841,"INDUSTRIAL","M",83.13,20,75.56,175.56
1842,"ELECTRICA","M",83.67,20,77.66,177.66
1843,"QUIMICA","M",85.69,21,77.95,177.95
1844,"BIOQUIMICA","F",80.16,19,60.82,160.82
1845,"ELECTRICA","F",78.9,19,57.07,157.07
1846,"ADMINISTRACION","F",90.63,22,60.53,160.53
1847,"BIOQUIMICA","M",86.22,21,83.87,183.87
1848,"BIOQUIMICA","F",86.67,21,60.73,160.73
1849,"BIOQUIMICA","F",84.66,21,64.64,164.64
1850,"INFORMATICA","M",79.38,19,79.66,179.66
1851,"ARQUITECTURA","M",86.65,21,82.59,182.59
1852,"BIOQUIMICA","M",81.19,20,87.25,187.25
1853,"INDUSTRIAL","M",86.89,21,78.68,178.68
1854,"QUIMICA","F",86.6,21,60.58,160.58
1855,"MECANICA","M",80.85,20,80.91,180.91
1856,"SISTEMAS","M",88.73,22,74.27,174.27
1857,"BIOQUIMICA","M",87.67,21,78.73,178.73
1858,"BIOQUIMICA","M",85.9,21,76.76,176.76
1859,"MECATRONICA","F",83.87,20,58.55,158.55
1860,"MECATRONICA","F",81.71,20,59.25,159.25
1861,"BIOQUIMICA","F",90.38,22,64.57,164.57
1862,"MECATRONICA","M",82.71,20,80.8,180.8
1863,"CIVIL","F",85.43,21,60.44,160.44
1864,"ARQUITECTURA","F",87.53,21,61.09,161.09
1865,"INDUSTRIAL","F",87.84,22,65.81,165.81
1866,"ELECTRICA","M",88.17,22,80.43,180.43
1867,"MECATRONICA","F",89.9,22,59.39,159.39
1868,"CIVIL","F",89.65,22,58.34,158.34
1869,"TIC","M",84.1,20,79.58,179.58
1870,"BIOQUIMICA","F",85.15,21,60.01,160.01
1871,"MECANICA","M",87.25,21,82.4,182.4
1872,"MECATRONICA","F",83.61,20,60.62,160.62
1873,"ELECTRONICA","F",84.03,20,52,152
1874,"CIVIL","F",88.72,22,57.16,157.16
1875,"TIC","F",83.09,20,62.05,162.05
1876,"INFORMATICA","M",89.53,22,81.14,181.14
1877,"QUIMICA","F",78.32,19,57.88,157.88
1878,"ARQUITECTURA","F",82.86,20,55.05,155.05
1879,"INFORMATICA","M",85.57,21,78.68,178.68
1880,"MECATRONICA","F",88.61,22,58.34,158.34
1881,"QUIMICA","M",84.07,20,82.66,182.66
1882,"INFORMATICA","M",88.88,22,81.46,181.46
1883,"QUIMICA","M",82.98,20,78.66,178.66
1884,"INDUSTRIAL","M",79.29,19,81.47,181.47
1885,"MECANICA","F",83.08,20,59.77,159.77
1886,"TIC","M",85.64,21,76.5,176.5
1887,"ELECTRICA","M",85.93,21,76.58,176.58
1888,"SISTEMAS","F",89.33,22,59.47,159.47
1889,"ELECTRONICA","F",83.1,20,62.46,162.46
1890,"SISTEMAS","M",85.19,21,79.89,179.89
1891,"CIVIL","M",86.91,21,79.23,179.23
1892,"INDUSTRIAL","F",87.93,22,59.39,159.39
1893,"INFORMATICA","M",85.99,21,76.98,176.98
1894,"ADMINISTRACION","F",85.67,21,61.12,161.12
1895,"ADMINISTRACION","M",81.97,20,86.58,186.58
1896,"BIOQUIMICA","F",91.46,23,60.8,160.8
1897,"ARQUITECTURA","F",86.05,21,58.05,158.05
1898,"BIOQUIMICA","M",92.27,23,79.78,179.78
1899,"ARQUITECTURA","M",86.4,21,83.44,183.44
1900,"MECATRONICA","M",82.82,20,77.03,177.03
1901,"ARQUITECTURA","F",87.34,21,60.86,160.86
1902,"TIC","M",78.7,19,78.65,178.65
1903,"TIC","M",88.42,22,83.55,183.55
1904,"SISTEMAS","M",81.74,20,84.73,184.73
1905,"CIVIL","M",85.14,21,80.65,180.65
1906,"ADMINISTRACION","M",83.61,20,80.91,180.91
1907,"TIC","F",83.3,20,58.82,158.82
1908,"MECATRONICA","F",84.81,21,61.97,161.97
1909,"ELECTRONICA","M",78.9,19,80.17,180.17
1910,"ARQUITECTURA","F",90.15,22,58.55,158.55
1911,"INDUSTRIAL","M",87.52,21,86.06,186.06
1912,"INDUSTRIAL","M",87.93,22,73.97,173.97
1913,"ELECTRONICA","M",92.7,23,79.28,179.28
1914,"ARQUITECTURA","F",85.15,21,56.41,156.41
1915,"MECATRONICA","F",86.81,21,60.4,160.4
1916,"ELECTRICA","F",88.17,22,60.69,160.69
1917,"INDUSTRIAL","F",88.45,22,62.48,162.48
1918,"SISTEMAS","F",82.55,20,58.29,158.29
1919,"INDUSTRIAL","M",90.62,22,78.33,178.33
1920,"ELECTRICA","M",82.59,20,77.04,177.04
1921,"ADMINISTRACION","M",88.31,22,80.23,180.23
1922,"ELECTRONICA","F",84.52,21,56.69,156.69
1923,"BIOQUIMICA","F",90.8,22,57.11,157.11
1924,"QUIMICA","F",93.55,23,58.74,158.74
1925,"BIOQUIMICA","F",90.89,22,62.94,162.94
1926,"CIVIL","F",84.44,21,61.15,161.15
1927,"ADMINISTRACION","F",88.47,22,58.12,158.12
1928,"MECATRONICA","F",88.62,22,63.85,163.85
1929,"QUIMICA","F",84.54,21,63.18,163.18
1930,"ADMINISTRACION","F",88.7,22,52.84,152.84
1931,"ELECTRICA","F",89.32,22,58.71,158.71
1932,"ARQUITECTURA","M",81.94,20,80.71,180.71
1933,"SISTEMAS","M",82.39,20,75.96,175.96
1934,"ARQUITECTURA","F",91.94,23,60.61,160.61
1935,"BIOQUIMICA","M",82.61,20,84.36,184.36
1936,"MECANICA","F",82.19,20,59.98,159.98
1937,"CIVIL","M",87.54,21,85.84,185.84
1938,"SISTEMAS","F",80.71,19,56.2,156.2
1939,"MECATRONICA","M",79.2,19,81.95,181.95
1940,"TIC","M",87.62,21,81.07,181.07
1941,"SISTEMAS","M",86.01,21,82.03,182.03
1942,"CIVIL","F",90.17,22,59.21,159.21
1943,"INDUSTRIAL","M",93.59,23,79.7,179.7
1944,"INDUSTRIAL","F",83.02,20,60.12,160.12
1945,"INFORMATICA","F",92.03,23,57.65,157.65
1946,"ARQUITECTURA","M",79.2,19,72.13,172.13
1947,"TIC","F",86.57,21,60.75,160.75
1948,"ARQUITECTURA","F",80.39,19,57.3,157.3
1949,"BIOQUIMICA","F",87.46,21,59.57,159.57
1950,"TIC","M",87.19,21,82.79,182.79
1951,"ELECTRONICA","M",90.91,22,83.87,183.87
1952,"MECANICA","M",88.89,22,81.61,181.61
1953,"QUIMICA","M",86.8,21,81.52,181.52
1954,"INFORMATICA","M",86.38,21,74.09,174.09
1955,"MECATRONICA","F",88.53,22,62.99,162.99
1956,"MECATRONICA","M",79.94,19,75.7,175.7
1957,"ADMINISTRACION","F",85.12,21,59.34,159.34
1958,"ELECTRONICA","F",87.28,21,58.35,158.35
1959,"ELECTRICA","M",90.39,22,78.2,178.2
1960,"QUIMICA","M",84.66,21,85.32,185.32
1961,"INFORMATICA","M",81.4,20,82.97,182.97
1962,"SISTEMAS","F",88.95,22,59.81,159.81
1963,"CIVIL","F",82.05,20,57.76,157.76
1964,"ARQUITECTURA","M",82.67,20,78.19,178.19
1965,"SISTEMAS","M",87.75,22,83.13,183.13
1966,"TIC","F",79.84,19,58.5,158.5
1967,"TIC","F",84.72,21,60.13,160.13
1968,"MECATRONICA","F",84.55,21,59.24,159.24
1969,"ARQUITECTURA","M",81.9,20,80.18,180.18
1970,"SISTEMAS","M",86.94,21,76.3,176.3
1971,"ELECTRONICA","M",92.73,23,83.9,183.9
1972,"ELECTRICA","F",87.67,21,57.36,157.36
1973,"BIOQUIMICA","M",84.82,21,84.5,184.5
1974,"QUIMICA","M",80.05,19,80.18,180.18
1975,"ELECTRICA","M",83.22,20,82.55,182.55
1976,"MECATRONICA","F",80.71,19,59.38,159.38
1977,"CIVIL","F",87.6,21,64.6,164.6
1978,"CIVIL","M",81.23,20,75.94,175.94
1979,"MECATRONICA","M",87.63,21,78.6,178.6
1980,"INFORMATICA","F",84.91,21,61.94,161.94
1981,"BIOQUIMICA","M",85.03,21,79.97,179.97
1982,"INDUSTRIAL","M",91.41,23,74.66,174.66
1983,"QUIMICA","M",90.53,22,78.76,178.76
1984,"MECANICA","F",81.34,20,62.76,162.76
1985,"ELECTRONICA","M",83.37,20,82.42,182.42
1986,"ADMINISTRACION","F",91.01,22,59.96,159.96
1987,"TIC","M",88.52,22,75.08,175.08
1988,"ELECTRICA","F",84.91,21,57.7,157.7
1989,"SISTEMAS","M",87.59,21,77.85,177.85
1990,"MECANICA","M",73.38,17,75.72,175.72
1991,"MECANICA","F",89.54,22,60.3,160.3
1992,"MECATRONICA","M",85.8,21,81.2,181.2
1993,"QUIMICA","M",89.39,22,85.06,185.06
1994,"TIC","F",82.79,20,59.18,159.18
1995,"INFORMATICA","M",91.87,23,75.53,175.53
1996,"INDUSTRIAL","M",86.35,21,73.96,173.96
1997,"MECATRONICA","F",83.99,20,58.27,158.27
1998,"BIOQUIMICA","M",82.23,20,79.41,179.41
1999,"MECATRONICA","F",84.35,21,59.14,159.14
2000,"INFORMATICA","F",85.65,21,57.3,157.3
2001,"ELECTRICA","F",84.11,20,57.77,157.77
2002,"ELECTRONICA","M",88.73,22,79.02,179.02
2003,"BIOQUIMICA","F",87.03,21,55.29,155.29
2004,"MECANICA","F",91.26,23,59.76,159.76
2005,"MECATRONICA","F",89.16,22,59.92,159.92
2006,"ELECTRICA","M",86.69,21,80.87,180.87
2007,"ELECTRONICA","F",94.51,23,61.86,161.86
2008,"ADMINISTRACION","M",84.18,20,81.97,181.97
2009,"QUIMICA","F",83.22,20,61.65,161.65
2010,"QUIMICA","F",88.37,22,60.08,160.08
2011,"CIVIL","M",83.02,20,80.53,180.53
2012,"SISTEMAS","F",85.6,21,60.92,160.92
2013,"MECANICA","F",80,19,60.33,160.33
2014,"ELECTRONICA","F",83.7,20,61.14,161.14
2015,"ADMINISTRACION","F",84.15,20,58.05,158.05
2016,"TIC","M",85.32,21,77.74,177.74
2017,"ELECTRONICA","M",84.61,21,80.7,180.7
2018,"INFORMATICA","M",88.98,22,81.78,181.78
2019,"ELECTRICA","F",81.11,20,59.9,159.9
2020,"ADMINISTRACION","M",85.2,21,77.45,177.45
2021,"TIC","F",86.17,21,53.76,153.76
2022,"MECATRONICA","M",86.37,21,80.23,180.23
2023,"CIVIL","M",80.57,19,82.1,182.1
2024,"BIOQUIMICA","F",90.91,22,58.39,158.39
