"","juegos","lugar","categoria"
"2611",1703,797,"D"
"2612",2144,368,"B"
"2613",1774,660,"D"
"2614",2121,201,"B"
"2615",2094,561,"C"
"2616",1901,497,"C"
"2617",2377,254,"B"
"2618",2223,368,"B"
"2619",3083,169,"A"
"2620",1773,777,"D"
"2621",2613,62,"A"
"2622",1844,733,"D"
"2623",1239,969,"E"
"2624",2240,360,"B"
"2625",1444,951,"E"
"2626",2236,230,"B"
"2627",1747,677,"D"
"2628",1972,490,"C"
"2629",2070,592,"C"
"2630",1900,443,"C"
"2631",1729,714,"D"
"2632",2011,452,"C"
"2633",2599,95,"A"
"2634",2120,231,"B"
"2635",1867,595,"C"
"2636",1155,967,"E"
"2637",1981,600,"C"
"2638",2054,499,"C"
"2639",2497,36,"A"
"2640",1044,802,"E"
"2641",1616,683,"D"
"2642",2128,369,"B"
"2643",1845,797,"D"
"2644",1535,991,"E"
"2645",2290,289,"B"
"2646",2941,52,"A"
"2647",1883,542,"C"
"2648",2296,344,"B"
"2649",2434,85,"A"
"2650",3019,152,"A"
"2651",1881,560,"C"
"2652",2705,39,"A"
"2653",1402,888,"E"
"2654",1804,639,"D"
"2655",1306,970,"E"
"2656",2532,89,"A"
"2657",1261,992,"E"
"2658",1985,412,"C"
"2659",930,940,"E"
"2660",1719,734,"D"
"2661",1290,835,"E"
"2662",1729,797,"D"
"2663",1748,657,"D"
"2664",2409,271,"B"
"2665",1620,800,"D"
"2666",1752,776,"D"
"2667",1494,824,"E"
"2668",1730,648,"D"
"2669",3009,174,"A"
"2670",2798,22,"A"
"2671",1805,692,"D"
"2672",1971,506,"C"
"2673",1865,558,"C"
"2674",1405,939,"E"
"2675",1262,901,"E"
"2676",1005,968,"E"
"2677",3132,59,"A"
"2678",2143,396,"B"
"2679",1349,900,"E"
"2680",1489,841,"E"
"2681",1860,659,"D"
"2682",2327,274,"B"
"2683",1050,890,"E"
"2684",1416,912,"E"
"2685",1537,984,"E"
"2686",2062,406,"C"
"2687",2317,356,"B"
"2688",1781,686,"D"
"2689",1811,703,"D"
"2690",2502,116,"A"
"2691",1423,805,"E"
"2692",1567,892,"E"
"2693",1748,618,"D"
"2694",1227,925,"E"
"2695",1651,748,"D"
"2696",2141,296,"B"
"2697",2113,472,"C"
"2698",1611,710,"D"
"2699",3174,63,"A"
"2700",1810,647,"D"
"2701",1900,515,"C"
"2702",1157,987,"E"
"2703",1965,509,"C"
"2704",2710,148,"A"
"2705",1769,611,"D"
"2706",1798,748,"D"
"2707",2394,293,"B"
"2708",2195,398,"B"
"2709",2076,535,"C"
"2710",1796,602,"D"
"2711",1305,976,"E"
"2712",1721,700,"D"
"2713",2913,87,"A"
"2714",1803,627,"D"
"2715",1995,581,"C"
"2716",2570,98,"A"
"2717",1920,429,"C"
"2718",2147,371,"B"
"2719",1482,861,"E"
"2720",2163,369,"B"
"2721",2187,369,"B"
"2722",2207,293,"B"
"2723",2321,349,"B"
"2724",1418,888,"E"
"2725",2729,156,"A"
"2726",2358,211,"B"
"2727",1295,909,"E"
"2728",2227,315,"B"
"2729",1719,623,"D"
"2730",2096,542,"C"
"2731",1874,591,"C"
"2732",1909,448,"C"
"2733",1262,914,"E"
"2734",3105,71,"A"
"2735",3079,155,"A"
"2736",1311,873,"E"
"2737",1220,840,"E"
"2738",3055,51,"A"
"2739",2798,139,"A"
"2740",1989,500,"C"
"2741",1488,944,"E"
"2742",1962,561,"C"
"2743",2430,90,"A"
"2744",2400,275,"B"
"2745",2848,12,"A"
"2746",1344,954,"E"
"2747",2044,505,"C"
"2748",1595,744,"D"
"2749",666,957,"E"
"2750",1803,788,"D"
"2751",1474,953,"E"
"2752",2147,222,"B"
"2753",2062,568,"C"
"2754",1999,596,"C"
"2755",1946,470,"C"
"2756",2396,352,"B"
"2757",2077,498,"C"
"2758",1712,758,"D"
"2759",2347,272,"B"
"2760",2389,383,"B"
"2761",2327,339,"B"
"2762",1840,741,"D"
"2763",2317,368,"B"
"2764",1997,557,"C"
"2765",1301,875,"E"
"2766",1622,687,"D"
"2767",2091,469,"C"
"2768",1358,903,"E"
"2769",2423,16,"A"
"2770",1705,710,"D"
"2771",2294,352,"B"
"2772",2014,452,"C"
"2773",1358,828,"E"
"2774",2215,275,"B"
"2775",1747,790,"D"
"2776",2124,249,"B"
"2777",2518,164,"A"
"2778",1457,950,"E"
"2779",1664,733,"D"
"2780",1733,607,"D"
"2781",1798,680,"D"
"2782",1867,581,"C"
"2783",1578,632,"D"
"2784",2298,212,"B"
"2785",1386,984,"E"
"2786",2387,312,"B"
"2787",2736,46,"A"
"2788",2213,222,"B"
"2789",1411,909,"E"
"2790",1389,880,"E"
"2791",2012,526,"C"
"2792",2030,458,"C"
"2793",2305,344,"B"
"2794",1896,436,"C"
"2795",1766,690,"D"
"2796",3202,50,"A"
"2797",1791,677,"D"
"2798",2012,482,"C"
"2799",2033,472,"C"
"2800",2361,383,"B"
"2801",1653,739,"D"
"2802",1534,905,"E"
"2803",1103,836,"E"
"2804",1805,632,"D"
"2805",2019,589,"C"
"2806",1030,961,"E"
"2807",1880,551,"C"
"2808",3355,161,"A"
"2809",2298,340,"B"
"2810",1994,535,"C"
"2811",1042,935,"E"
"2812",1412,953,"E"
"2813",1501,823,"E"
"2814",2178,212,"B"
"2815",1978,472,"C"
"2816",1699,699,"D"
"2817",1225,955,"E"
"2818",2155,248,"B"
"2819",1782,677,"D"
"2820",1983,546,"C"
"2821",2204,380,"B"
"2822",1750,786,"D"
"2823",2088,564,"C"
"2824",2227,351,"B"
"2825",2062,434,"C"
"2826",1496,918,"E"
"2827",2525,30,"A"
"2828",1430,890,"E"
"2829",2613,184,"A"
"2830",1600,676,"D"
"2831",1520,974,"E"
"2832",1449,928,"E"
"2833",1305,960,"E"
"2834",1936,579,"C"
"2835",1853,608,"D"
"2836",1569,947,"E"
"2837",2274,202,"B"
"2838",1628,753,"D"
"2839",1724,611,"D"
"2840",2654,60,"A"
"2841",2541,175,"A"
"2842",1301,823,"E"
"2843",2134,319,"B"
"2844",1547,909,"E"
"2845",2049,485,"C"
"2846",1849,736,"D"
"2847",2338,302,"B"
"2848",1928,537,"C"
"2849",1846,695,"D"
"2850",2170,265,"B"
"2851",1900,473,"C"
"2852",2632,24,"A"
"2853",1823,782,"D"
"2854",2153,329,"B"
"2855",2282,296,"B"
"2856",2134,269,"B"
"2857",967,975,"E"
"2858",1995,477,"C"
"2859",1911,490,"C"
"2860",1708,609,"D"
"2861",1664,738,"D"
"2862",2039,411,"C"
"2863",2137,306,"B"
"2864",1972,573,"C"
"2865",2336,206,"B"
"2866",1588,630,"D"
"2867",2895,93,"A"
"2868",2521,79,"A"
"2869",2054,557,"C"
"2870",2341,251,"B"
"2871",1978,410,"C"
"2872",1171,935,"E"
"2873",2948,145,"A"
"2874",2533,27,"A"
"2875",1120,821,"E"
"2876",1940,536,"C"
"2877",1440,999,"E"
"2878",660,949,"E"
"2879",2105,437,"C"
"2880",1953,423,"C"
"2881",2792,122,"A"
"2882",989,909,"E"
"2883",2154,349,"B"
"2884",2144,377,"B"
"2885",1762,649,"D"
"2886",1160,840,"E"
"2887",1547,997,"E"
"2888",1443,965,"E"
"2889",1807,675,"D"
"2890",2459,8,"A"
"2891",1955,507,"C"
"2892",1685,735,"D"
"2893",2638,180,"A"
"2894",1385,918,"E"
"2895",1400,874,"E"
"2896",1160,942,"E"
"2897",2410,287,"B"
"2898",2334,357,"B"
"2899",1998,410,"C"
"2900",1313,982,"E"
"2901",1877,515,"C"
"2902",1346,860,"E"
"2903",1583,764,"D"
"2904",1791,629,"D"
"2905",1921,449,"C"
"2906",2258,207,"B"
"2907",1953,408,"C"
"2908",1957,475,"C"
"2909",2117,523,"C"
"2910",2207,223,"B"
"2911",2603,180,"A"
"2912",2157,239,"B"
"2913",1847,784,"D"
"2914",1576,692,"D"
"2915",2075,461,"C"
"2916",2151,274,"B"
"2917",2170,206,"B"
"2918",2316,272,"B"
"2919",1735,754,"D"
"2920",2059,427,"C"
"2921",2939,86,"A"
"2922",2760,25,"A"
"2923",2085,444,"C"
"2924",1825,617,"D"
"2925",1578,623,"D"
"2926",1101,908,"E"
"2927",2325,219,"B"
"2928",2073,512,"C"
"2929",2400,397,"B"
"2930",1904,401,"C"
"2931",2378,377,"B"
"2932",1446,955,"E"
"2933",1937,590,"C"
"2934",2169,276,"B"
"2935",1174,932,"E"
"2936",1169,836,"E"
"2937",2371,364,"B"
"2938",1331,988,"E"
"2939",2771,115,"A"
"2940",1737,674,"D"
"2941",2313,400,"B"
"2942",1475,931,"E"
"2943",2611,127,"A"
"2944",2444,71,"A"
"2945",2661,119,"A"
"2946",2462,173,"A"
"2947",1914,552,"C"
"2948",793,893,"E"
"2949",1596,769,"D"
"2950",2927,148,"A"
"2951",2001,499,"C"
"2952",2197,250,"B"
"2953",1545,889,"E"
"2954",2153,269,"B"
"2955",1443,852,"E"
"2956",2241,371,"B"
"2957",2140,258,"B"
"2958",1776,608,"D"
"2959",1386,820,"E"
"2960",2154,386,"B"
"2961",1575,755,"D"
"2962",2441,72,"A"
"2963",2336,279,"B"
"2964",2456,13,"A"
"2965",1874,498,"C"
"2966",1540,880,"E"
"2967",1249,895,"E"
"2968",1812,697,"D"
"2969",2310,266,"B"
"2970",3162,127,"A"
"2971",2467,117,"A"
"2972",2992,105,"A"
"2973",2005,442,"C"
"2974",1246,952,"E"
"2975",1733,791,"D"
"2976",2175,367,"B"
"2977",2280,266,"B"
"2978",2270,277,"B"
"2979",1806,787,"D"
"2980",991,860,"E"
"2981",1660,775,"D"
"2982",2736,69,"A"
"2983",1898,453,"C"
"2984",1942,593,"C"
"2985",1439,834,"E"
"2986",2177,314,"B"
"2987",1939,502,"C"
"2988",2246,395,"B"
"2989",2081,457,"C"
"2990",1745,706,"D"
"2991",1292,828,"E"
"2992",2034,432,"C"
"2993",1764,687,"D"
"2994",1454,993,"E"
"2995",2840,136,"A"
"2996",3171,10,"A"
"2997",1652,701,"D"
"2998",2168,284,"B"
"2999",1456,979,"E"
"3000",2953,116,"A"
"3001",2205,275,"B"
"3002",2146,244,"B"
"3003",1868,462,"C"
"3004",1848,645,"D"
"3005",2198,291,"B"
"3006",2092,458,"C"
"3007",1610,747,"D"
"3008",1410,801,"E"
"3009",1900,435,"C"
"3010",1688,641,"D"
"3011",2298,327,"B"
"3012",2637,68,"A"
"3013",1923,563,"C"
"3014",2037,566,"C"
"3015",2777,64,"A"
"3016",1847,726,"D"
"3017",1513,881,"E"
"3018",2584,176,"A"
"3019",2054,413,"C"
"3020",2355,296,"B"
"3021",1944,563,"C"
"3022",2637,44,"A"
"3023",2819,28,"A"
"3024",2196,361,"B"
"3025",3023,49,"A"
"3026",1467,955,"E"
"3027",1174,857,"E"
"3028",1367,948,"E"
"3029",1408,972,"E"
"3030",2422,162,"A"
"3031",1076,886,"E"
"3032",2108,531,"C"
"3033",2363,336,"B"
"3034",1069,979,"E"
"3035",1459,886,"E"
"3036",1566,962,"E"
"3037",1773,639,"D"
"3038",1418,881,"E"
"3039",1552,850,"E"
"3040",2954,104,"A"
"3041",2045,407,"C"
"3042",2045,565,"C"
"3043",2703,13,"A"
"3044",1704,721,"D"
"3045",2424,182,"A"
"3046",2074,549,"C"
"3047",2474,62,"A"
"3048",1951,402,"C"
"3049",1622,605,"D"
"3050",1641,704,"D"
"3051",2247,368,"B"
"3052",2310,307,"B"
"3053",2661,200,"A"
"3054",1942,421,"C"
"3055",2624,172,"A"
"3056",2144,347,"B"
"3057",2093,466,"C"
"3058",1935,479,"C"
"3059",2496,28,"A"
"3060",2814,19,"A"
"3061",2762,128,"A"
"3062",989,955,"E"
"3063",2416,78,"A"
"3064",2079,519,"C"
"3065",1043,937,"E"
"3066",2160,352,"B"
"3067",2283,368,"B"
"3068",1163,971,"E"
"3069",1259,922,"E"
"3070",1454,980,"E"
"3071",2183,363,"B"
"3072",1484,931,"E"
"3073",1567,833,"E"
"3074",1967,407,"C"
"3075",1657,714,"D"
"3076",1398,830,"E"
"3077",1670,631,"D"
"3078",1959,430,"C"
"3079",1936,483,"C"
"3080",2192,223,"B"
"3081",1619,720,"D"
"3082",2142,391,"B"
"3083",2988,86,"A"
"3084",1895,563,"C"
"3085",2805,74,"A"
"3086",1822,795,"D"
"3087",3151,76,"A"
"3088",2208,214,"B"
"3089",1907,504,"C"
"3090",1378,948,"E"
"3091",3277,78,"A"
"3092",1504,885,"E"
"3093",1962,490,"C"
"3094",2491,92,"A"
"3095",2128,271,"B"
"3096",2379,334,"B"
"3097",2552,200,"A"
"3098",2245,347,"B"
"3099",2260,293,"B"
"3100",2054,509,"C"
"3101",3133,98,"A"
"3102",2248,207,"B"
"3103",1613,616,"D"
"3104",2289,213,"B"
"3105",3213,30,"A"
"3106",2044,506,"C"
"3107",1679,654,"D"
"3108",2344,349,"B"
"3109",1022,814,"E"
"3110",1883,491,"C"
"3111",1660,687,"D"
"3112",1997,554,"C"
"3113",2024,546,"C"
"3114",1001,901,"E"
"3115",2294,277,"B"
"3116",2766,55,"A"
"3117",2383,317,"B"
"3118",1967,531,"C"
"3119",1777,731,"D"
"3120",1973,543,"C"
"3121",1224,968,"E"
"3122",2408,332,"B"
"3123",2883,87,"A"
"3124",2365,249,"B"
"3125",1786,660,"D"
"3126",1754,706,"D"
"3127",2219,350,"B"
"3128",2010,479,"C"
"3129",2431,145,"A"
"3130",1762,685,"D"
"3131",1462,954,"E"
"3132",1587,710,"D"
"3133",1524,907,"E"
"3134",2395,332,"B"
"3135",1905,441,"C"
"3136",3678,167,"A"
"3137",2862,149,"A"
"3138",1536,864,"E"
"3139",2048,519,"C"
"3140",1805,663,"D"
"3141",1571,860,"E"
"3142",1488,819,"E"
"3143",1790,719,"D"
"3144",2064,404,"C"
"3145",2481,180,"A"
"3146",1793,616,"D"
"3147",2644,178,"A"
"3148",3446,136,"A"
"3149",1982,411,"C"
"3150",2388,214,"B"
"3151",2339,240,"B"
"3152",1758,763,"D"
"3153",1826,798,"D"
"3154",2758,112,"A"
"3155",1418,931,"E"
"3156",2443,20,"A"
"3157",2351,333,"B"
"3158",1130,903,"E"
"3159",2139,238,"B"
"3160",2699,91,"A"
"3161",2125,338,"B"
"3162",1821,742,"D"
"3163",2303,357,"B"
"3164",2220,203,"B"
"3165",2254,361,"B"
"3166",1418,925,"E"
"3167",2221,263,"B"
"3168",1002,841,"E"
"3169",2049,476,"C"
"3170",1969,451,"C"
"3171",1895,449,"C"
"3172",1206,973,"E"
"3173",2014,411,"C"
"3174",2147,228,"B"
"3175",2483,90,"A"
"3176",1851,670,"D"
"3177",2056,560,"C"
"3178",2203,232,"B"
"3179",1004,833,"E"
"3180",2135,345,"B"
"3181",2931,126,"A"
"3182",1864,408,"C"
"3183",1954,510,"C"
"3184",2304,313,"B"
"3185",1704,635,"D"
"3186",1346,891,"E"
"3187",1835,743,"D"
"3188",2814,196,"A"
"3189",1959,490,"C"
"3190",2058,490,"C"
"3191",2293,244,"B"
"3192",1606,730,"D"
"3193",1644,695,"D"
"3194",1639,716,"D"
"3195",2120,362,"B"
"3196",2275,225,"B"
"3197",1850,644,"D"
"3198",1476,834,"E"
"3199",2578,137,"A"
"3200",1361,875,"E"
"3201",2029,493,"C"
"3202",2634,139,"A"
"3203",1514,957,"E"
"3204",2835,53,"A"
"3205",1579,655,"D"
"3206",1235,944,"E"
"3207",1935,421,"C"
"3208",1158,975,"E"
"3209",1649,669,"D"
"3210",1951,485,"C"
"3211",1708,652,"D"
"3212",2253,357,"B"
"3213",1543,927,"E"
"3214",1104,934,"E"
"3215",2638,69,"A"
"3216",2887,84,"A"
"3217",1939,496,"C"
"3218",2440,189,"A"
"3219",1384,842,"E"
"3220",1989,444,"C"
"3221",1810,687,"D"
"3222",1243,835,"E"
"3223",1031,933,"E"
"3224",2218,305,"B"
"3225",2435,100,"A"
"3226",1675,776,"D"
"3227",1155,938,"E"
"3228",2019,417,"C"
"3229",2448,183,"A"
"3230",2459,105,"A"
"3231",2259,280,"B"
"3232",1098,925,"E"
"3233",1511,934,"E"
"3234",1955,409,"C"
"3235",1468,880,"E"
"3236",1530,835,"E"
"3237",1822,637,"D"
"3238",2796,46,"A"
"3239",1895,551,"C"
"3240",2220,233,"B"
"3241",2450,131,"A"
"3242",1606,635,"D"
"3243",1916,588,"C"
"3244",1910,593,"C"
"3245",2164,390,"B"
"3246",2157,362,"B"
"3247",2388,354,"B"
"3248",1819,784,"D"
"3249",2249,260,"B"
"3250",2247,279,"B"
"3251",2329,329,"B"
"3252",2430,146,"A"
"3253",2142,300,"B"
"3254",2279,283,"B"
"3255",991,948,"E"
"3256",2325,291,"B"
"3257",1854,742,"D"
"3258",1450,860,"E"
"3259",1603,697,"D"
"3260",1742,630,"D"
"3261",2063,578,"C"
"3262",2974,112,"A"
"3263",2646,81,"A"
"3264",2264,208,"B"
"3265",2186,268,"B"
"3266",1888,401,"C"
"3267",2619,191,"A"
"3268",1830,713,"D"
"3269",1907,560,"C"
"3270",1388,850,"E"
"3271",1628,722,"D"
"3272",2406,389,"B"
"3273",1218,918,"E"
"3274",2174,396,"B"
"3275",1230,831,"E"
"3276",2134,395,"B"
"3277",1810,702,"D"
"3278",2565,192,"A"
"3279",1707,629,"D"
"3280",2922,180,"A"
"3281",1692,760,"D"
"3282",1936,497,"C"
"3283",2770,102,"A"
"3284",2321,222,"B"
"3285",2304,293,"B"
"3286",2650,193,"A"
"3287",2000,551,"C"
"3288",2654,43,"A"
"3289",990,918,"E"
"3290",2392,262,"B"
"3291",1718,627,"D"
"3292",2359,378,"B"
"3293",2616,116,"A"
"3294",2885,132,"A"
"3295",3006,64,"A"
"3296",1465,811,"E"
"3297",1673,629,"D"
"3298",2488,159,"A"
"3299",1573,666,"D"
"3300",1488,926,"E"
"3301",2217,319,"B"
"3302",2524,146,"A"
"3303",2375,285,"B"
"3304",2584,2,"A"
"3305",2436,155,"A"
"3306",1687,615,"D"
"3307",2368,383,"B"
"3308",2358,348,"B"
"3309",1750,773,"D"
"3310",2500,103,"A"
"3311",1913,573,"C"
"3312",2112,445,"C"
"3313",2087,493,"C"
"3314",1112,859,"E"
"3315",1834,758,"D"
"3316",1541,907,"E"
"3317",1504,965,"E"
"3318",1491,826,"E"
"3319",2294,225,"B"
"3320",2415,67,"A"
"3321",1292,836,"E"
"3322",2261,355,"B"
"3323",1808,726,"D"
"3324",2616,107,"A"
"3325",3483,115,"A"
"3326",2645,21,"A"
"3327",1845,611,"D"
"3328",1877,499,"C"
"3329",1276,899,"E"
"3330",1520,816,"E"
"3331",1775,698,"D"
"3332",1722,733,"D"
"3333",2098,513,"C"
"3334",2747,148,"A"
"3335",799,969,"E"
"3336",2380,226,"B"
"3337",2204,213,"B"
"3338",2229,290,"B"
"3339",2124,312,"B"
"3340",2783,163,"A"
"3341",1800,679,"D"
"3342",1962,421,"C"
"3343",2137,391,"B"
"3344",1804,667,"D"
"3345",2002,480,"C"
"3346",2641,174,"A"
"3347",2027,595,"C"
"3348",1897,496,"C"
"3349",1886,484,"C"
"3350",2045,514,"C"
"3351",1508,975,"E"
"3352",1662,618,"D"
"3353",2045,503,"C"
"3354",2410,235,"B"
"3355",1367,884,"E"
"3356",2074,406,"C"
"3357",2658,21,"A"
"3358",3109,96,"A"
"3359",2298,241,"B"
"3360",2193,321,"B"
"3361",939,852,"E"
"3362",2141,390,"B"
"3363",2204,369,"B"
"3364",2168,305,"B"
"3365",2312,369,"B"
"3366",2797,64,"A"
"3367",1855,798,"D"
"3368",1753,787,"D"
"3369",1997,445,"C"
"3370",2763,165,"A"
"3371",1580,739,"D"
"3372",731,944,"E"
"3373",2249,386,"B"
"3374",3202,158,"A"
"3375",1030,965,"E"
"3376",1729,618,"D"
"3377",1332,989,"E"
"3378",1690,639,"D"
"3379",2019,481,"C"
"3380",1934,576,"C"
"3381",2045,547,"C"
"3382",1812,635,"D"
"3383",1665,669,"D"
"3384",2324,321,"B"
"3385",1937,420,"C"
"3386",1660,701,"D"
"3387",2411,27,"A"
"3388",2450,54,"A"
"3389",2152,316,"B"
"3390",639,995,"E"
"3391",1719,667,"D"
"3392",2410,211,"B"
"3393",1306,892,"E"
"3394",1923,548,"C"
"3395",2824,104,"A"
"3396",1756,696,"D"
"3397",2557,178,"A"
"3398",1969,463,"C"
"3399",1878,558,"C"
"3400",2754,48,"A"
"3401",1447,978,"E"
"3402",2419,55,"A"
"3403",2495,111,"A"
"3404",1973,579,"C"
"3405",2772,191,"A"
"3406",1966,414,"C"
"3407",1996,445,"C"
"3408",2889,88,"A"
"3409",1698,624,"D"
"3410",1968,600,"C"
"3411",2038,421,"C"
"3412",2061,438,"C"
"3413",1259,859,"E"
"3414",1821,772,"D"
"3415",1916,584,"C"
"3416",2809,130,"A"
"3417",1389,822,"E"
"3418",1744,798,"D"
"3419",2455,64,"A"
"3420",2736,122,"A"
"3421",2670,101,"A"
"3422",2545,83,"A"
"3423",2576,69,"A"
"3424",441,996,"E"
"3425",2038,473,"C"
"3426",1481,976,"E"
"3427",1702,779,"D"
"3428",2811,7,"A"
"3429",2182,353,"B"
"3430",2003,422,"C"
"3431",1863,535,"C"
"3432",2131,203,"B"
"3433",1015,890,"E"
"3434",1791,652,"D"
"3435",2198,266,"B"
"3436",1892,401,"C"
"3437",872,993,"E"
"3438",1845,704,"D"
"3439",1888,592,"C"
"3440",1287,896,"E"
"3441",842,839,"E"
"3442",1402,919,"E"
"3443",1771,723,"D"
"3444",2566,181,"A"
"3445",2521,120,"A"
"3446",1082,847,"E"
"3447",1053,982,"E"
"3448",2475,22,"A"
"3449",2304,220,"B"
"3450",2010,582,"C"
"3451",517,871,"E"
"3452",2430,191,"A"
"3453",2255,246,"B"
"3454",2405,235,"B"
"3455",1651,656,"D"
"3456",2230,291,"B"
"3457",2691,87,"A"
"3458",904,974,"E"
"3459",2640,73,"A"
"3460",2238,333,"B"
"3461",1664,698,"D"
"3462",1680,794,"D"
"3463",1654,627,"D"
"3464",2185,240,"B"
"3465",2086,483,"C"
"3466",1577,771,"D"
"3467",1812,644,"D"
"3468",2611,151,"A"
"3469",1897,440,"C"
"3470",1764,741,"D"
"3471",2103,528,"C"
"3472",2206,273,"B"
"3473",1798,704,"D"
"3474",1901,427,"C"
"3475",1594,720,"D"
"3476",1914,531,"C"
"3477",2090,558,"C"
"3478",2027,598,"C"
"3479",1529,959,"E"
"3480",2479,4,"A"
"3481",2018,404,"C"
"3482",1883,465,"C"
"3483",2244,230,"B"
"3484",2301,367,"B"
"3485",1864,431,"C"
"3486",1464,889,"E"
"3487",2989,18,"A"
"3488",1127,817,"E"
"3489",2318,346,"B"
"3490",1957,567,"C"
"3491",1652,768,"D"
"3492",1524,928,"E"
"3493",2113,479,"C"
"3494",2254,229,"B"
"3495",2219,256,"B"
"3496",2184,394,"B"
"3497",2368,294,"B"
"3498",1947,549,"C"
"3499",1699,740,"D"
"3500",2194,339,"B"
"3501",1590,725,"D"
"3502",1761,609,"D"
"3503",2214,328,"B"
"3504",2917,146,"A"
"3505",2087,545,"C"
"3506",1348,836,"E"
"3507",2285,283,"B"
"3508",796,900,"E"
"3509",1969,522,"C"
"3510",2545,48,"A"
"3511",1846,639,"D"
"3512",1910,450,"C"
"3513",2556,129,"A"
"3514",2654,159,"A"
"3515",1266,944,"E"
"3516",2428,92,"A"
"3517",2203,238,"B"
"3518",1645,733,"D"
"3519",1820,681,"D"
"3520",1890,591,"C"
"3521",2848,99,"A"
"3522",2344,217,"B"
"3523",2366,286,"B"
"3524",2833,162,"A"
"3525",3172,193,"A"
"3526",1628,631,"D"
"3527",2709,64,"A"
"3528",1387,965,"E"
"3529",2068,428,"C"
"3530",1662,621,"D"
"3531",1492,811,"E"
"3532",1388,827,"E"
"3533",2331,357,"B"
"3534",1167,938,"E"
"3535",1996,470,"C"
"3536",1840,631,"D"
"3537",1564,880,"E"
"3538",1827,674,"D"
"3539",2259,252,"B"
"3540",2400,354,"B"
"3541",2876,113,"A"
"3542",1416,814,"E"
"3543",2454,153,"A"
"3544",1662,784,"D"
"3545",2576,183,"A"
"3546",2115,438,"C"
"3547",2331,217,"B"
"3548",1646,712,"D"
"3549",1823,698,"D"
"3550",1266,842,"E"
"3551",2412,90,"A"
"3552",1975,401,"C"
"3553",1985,501,"C"
"3554",1406,913,"E"
"3555",2087,555,"C"
"3556",1952,451,"C"
"3557",2479,135,"A"
"3558",1798,695,"D"
"3559",1728,780,"D"
"3560",1970,431,"C"
"3561",1838,752,"D"
"3562",1896,405,"C"
"3563",1783,646,"D"
"3564",2515,10,"A"
"3565",1693,650,"D"
"3566",2828,52,"A"
"3567",2186,262,"B"
"3568",1803,740,"D"
"3569",1600,757,"D"
"3570",2082,455,"C"
"3571",1489,811,"E"
"3572",2136,301,"B"
"3573",1566,867,"E"
"3574",1735,645,"D"
"3575",2889,77,"A"
"3576",1787,693,"D"
"3577",2125,346,"B"
"3578",2581,181,"A"
"3579",2531,59,"A"
"3580",2105,519,"C"
"3581",2323,230,"B"
"3582",1982,482,"C"
"3583",2448,55,"A"
"3584",2999,163,"A"
"3585",2162,375,"B"
"3586",2303,365,"B"
"3587",1758,760,"D"
"3588",2158,271,"B"
"3589",1760,776,"D"
"3590",3020,181,"A"
"3591",2639,106,"A"
"3592",2922,107,"A"
"3593",2728,165,"A"
"3594",1853,701,"D"
"3595",2973,187,"A"
"3596",1958,402,"C"
"3597",2708,87,"A"
"3598",1809,745,"D"
"3599",1635,621,"D"
"3600",1679,625,"D"
"3601",1390,941,"E"
"3602",2054,492,"C"
"3603",2026,500,"C"
"3604",1978,489,"C"
"3605",1648,756,"D"
"3606",1570,939,"E"
"3607",2170,203,"B"
"3608",2155,359,"B"
"3609",2341,263,"B"
"3610",1887,401,"C"
"3611",3069,117,"A"
"3612",954,827,"E"
"3613",1970,469,"C"
"3614",3078,92,"A"
"3615",1935,588,"C"
"3616",2129,235,"B"
"3617",1837,605,"D"
"3618",1572,638,"D"
"3619",2569,66,"A"
"3620",1196,963,"E"
"3621",1653,673,"D"
"3622",2880,126,"A"
"3623",2418,61,"A"
"3624",1719,696,"D"
"3625",1339,807,"E"
"3626",1887,592,"C"
"3627",2086,418,"C"
"3628",2554,191,"A"
"3629",3042,179,"A"
"3630",2163,381,"B"
"3631",1773,688,"D"
"3632",2791,86,"A"
"3633",1793,730,"D"
"3634",1605,766,"D"
"3635",1912,594,"C"
"3636",1336,851,"E"
"3637",2468,121,"A"
"3638",2309,265,"B"
"3639",2000,589,"C"
"3640",1591,646,"D"
"3641",2186,397,"B"
"3642",2259,221,"B"
"3643",2207,247,"B"
"3644",2159,269,"B"
"3645",1250,960,"E"
"3646",785,817,"E"
"3647",2368,250,"B"
"3648",2015,462,"C"
"3649",2039,466,"C"
"3650",1563,919,"E"
"3651",2495,71,"A"
"3652",2096,571,"C"
"3653",2624,32,"A"
"3654",1176,997,"E"
"3655",1463,803,"E"
"3656",1040,984,"E"
"3657",1790,654,"D"
"3658",2049,495,"C"
"3659",1558,938,"E"
"3660",2879,5,"A"
"3661",2138,249,"B"
"3662",2198,236,"B"
"3663",1486,909,"E"
"3664",1672,655,"D"
"3665",1642,770,"D"
"3666",1470,875,"E"
"3667",1617,759,"D"
"3668",1190,947,"E"
"3669",2276,388,"B"
"3670",2421,72,"A"
"3671",2379,229,"B"
"3672",1732,611,"D"
"3673",2287,264,"B"
"3674",2735,11,"A"
"3675",2514,74,"A"
"3676",2096,524,"C"
"3677",2266,312,"B"
"3678",2958,2,"A"
"3679",1642,673,"D"
"3680",2260,268,"B"
"3681",2355,240,"B"
"3682",1468,1000,"E"
"3683",1479,919,"E"
"3684",2873,186,"A"
"3685",3195,82,"A"
"3686",1464,980,"E"
"3687",1697,658,"D"
