"","matricula","carrera","genero","promedio","edad","peso","altura"
"1282",1282,"INFORMATICA","F",88.57,22,60.27,160.27
"1283",1283,"ELECTRICA","M",93.42,23,83.02,183.02
"1284",1284,"MECATRONICA","F",93.24,23,63.34,163.34
"1285",1285,"MECATRONICA","F",86.59,21,61.75,161.75
"1286",1286,"CIVIL","M",85.63,21,81.68,181.68
"1287",1287,"CIVIL","M",86.63,21,81.79,181.79
"1288",1288,"MECANICA","F",89.97,22,60.35,160.35
"1289",1289,"INDUSTRIAL","M",91.12,22,78.73,178.73
"1290",1290,"ELECTRICA","M",87.41,21,80.24,180.24
"1291",1291,"ARQUITECTURA","M",89.86,22,76.2,176.2
"1292",1292,"TIC","F",85.91,21,59.17,159.17
"1293",1293,"SISTEMAS","F",87.72,21,61.46,161.46
"1294",1294,"INDUSTRIAL","M",90.11,22,81.95,181.95
"1295",1295,"ARQUITECTURA","M",98.61,25,78.59,178.59
"1296",1296,"INDUSTRIAL","F",85.81,21,60.35,160.35
"1297",1297,"ELECTRICA","M",83.69,20,78.37,178.37
"1298",1298,"INDUSTRIAL","M",87.54,21,76.45,176.45
"1299",1299,"ELECTRONICA","M",84.59,21,78.59,178.59
"1300",1300,"ARQUITECTURA","M",88.2,22,73.32,173.32
"1301",1301,"INDUSTRIAL","F",87.18,21,58.37,158.37
"1302",1302,"BIOQUIMICA","M",90.56,22,79.22,179.22
"1303",1303,"BIOQUIMICA","M",82.68,20,78.06,178.06
"1304",1304,"QUIMICA","F",81.82,20,60.23,160.23
"1305",1305,"QUIMICA","F",91.43,23,58.21,158.21
"1306",1306,"MECATRONICA","F",86.78,21,62.96,162.96
"1307",1307,"ARQUITECTURA","M",82.8,20,80.1,180.1
"1308",1308,"INDUSTRIAL","F",82.28,20,58.16,158.16
"1309",1309,"INFORMATICA","F",84.09,20,58.06,158.06
"1310",1310,"ELECTRONICA","M",88.05,22,76.04,176.04
"1311",1311,"ARQUITECTURA","M",84.17,20,76.68,176.68
"1312",1312,"ELECTRONICA","M",90.65,22,82.61,182.61
"1313",1313,"INDUSTRIAL","F",86.84,21,58.11,158.11
"1314",1314,"MECANICA","F",86.68,21,55.16,155.16
"1315",1315,"MECATRONICA","F",85.95,21,61.73,161.73
"1316",1316,"SISTEMAS","F",84.97,21,61.34,161.34
"1317",1317,"ADMINISTRACION","M",85.42,21,83.79,183.79
"1318",1318,"BIOQUIMICA","M",90.01,22,78.84,178.84
"1319",1319,"MECATRONICA","F",81.36,20,61.57,161.57
"1320",1320,"ELECTRONICA","M",89.76,22,80.24,180.24
"1321",1321,"MECANICA","F",84.79,21,54.94,154.94
"1322",1322,"ADMINISTRACION","M",88.55,22,83.34,183.34
"1323",1323,"SISTEMAS","F",85.8,21,57.99,157.99
"1324",1324,"ELECTRICA","M",81.34,20,87.59,187.59
"1325",1325,"BIOQUIMICA","M",87.2,21,83.99,183.99
"1326",1326,"MECATRONICA","F",83.79,20,62.89,162.89
"1327",1327,"BIOQUIMICA","M",89.9,22,86.29,186.29
"1328",1328,"ARQUITECTURA","M",83.13,20,80.66,180.66
"1329",1329,"ARQUITECTURA","M",79.81,19,78.59,178.59
"1330",1330,"SISTEMAS","F",83.04,20,56.29,156.29
"1331",1331,"ELECTRICA","M",84.02,20,81.84,181.84
"1332",1332,"TIC","F",83.14,20,58.41,158.41
"1333",1333,"ADMINISTRACION","M",85.18,21,84.33,184.33
"1334",1334,"INDUSTRIAL","M",83.94,20,80.19,180.19
"1335",1335,"MECATRONICA","F",84.58,21,59.43,159.43
"1336",1336,"INFORMATICA","F",87.14,21,62.26,162.26
"1337",1337,"INDUSTRIAL","F",81.97,20,58.53,158.53
"1338",1338,"TIC","F",88.63,22,65.89,165.89
"1339",1339,"QUIMICA","F",85.99,21,59.32,159.32
"1340",1340,"CIVIL","M",85.87,21,80.31,180.31
"1341",1341,"ADMINISTRACION","M",78.95,19,77.82,177.82
"1342",1342,"BIOQUIMICA","M",84.96,21,80.99,180.99
"1343",1343,"TIC","F",84.08,20,62.06,162.06
"1344",1344,"ADMINISTRACION","M",88.94,22,75.22,175.22
"1345",1345,"CIVIL","M",90.82,22,79.95,179.95
"1346",1346,"BIOQUIMICA","M",90.27,22,81.92,181.92
"1347",1347,"ARQUITECTURA","M",82.14,20,76.78,176.78
"1348",1348,"CIVIL","M",83.24,20,83.53,183.53
"1349",1349,"MECATRONICA","F",85.69,21,59.42,159.42
"1350",1350,"MECANICA","F",82.33,20,62.32,162.32
"1351",1351,"ARQUITECTURA","M",80.44,19,81.55,181.55
"1352",1352,"BIOQUIMICA","M",88.74,22,75.81,175.81
"1353",1353,"ADMINISTRACION","M",86.24,21,83.51,183.51
"1354",1354,"ELECTRONICA","M",88.13,22,78.86,178.86
"1355",1355,"CIVIL","M",81.83,20,85.45,185.45
"1356",1356,"INFORMATICA","F",84.82,21,58.2,158.2
"1357",1357,"INFORMATICA","F",81.94,20,63.19,163.19
"1358",1358,"ADMINISTRACION","M",83.13,20,76.56,176.56
"1359",1359,"BIOQUIMICA","M",86.79,21,81.81,181.81
"1360",1360,"TIC","F",83.18,20,63.19,163.19
"1361",1361,"TIC","F",82.56,20,59.09,159.09
"1362",1362,"TIC","F",81.48,20,60.11,160.11
"1363",1363,"ADMINISTRACION","M",81.03,20,76.74,176.74
"1364",1364,"ARQUITECTURA","M",83.01,20,83.26,183.26
"1365",1365,"INFORMATICA","F",91.9,23,61.78,161.78
"1366",1366,"ELECTRICA","M",83.73,20,77.89,177.89
"1367",1367,"INFORMATICA","F",82.14,20,60.52,160.52
"1368",1368,"ELECTRICA","M",81.13,20,85.89,185.89
"1369",1369,"ADMINISTRACION","M",85.48,21,79.82,179.82
"1370",1370,"INFORMATICA","F",84.64,21,57.81,157.81
"1371",1371,"ELECTRICA","M",86.87,21,83,183
"1372",1372,"ADMINISTRACION","M",85.02,21,80.61,180.61
"1373",1373,"CIVIL","M",89.01,22,76.78,176.78
"1374",1374,"ELECTRICA","M",88.49,22,80.05,180.05
"1375",1375,"SISTEMAS","F",89.66,22,56.6,156.6
"1376",1376,"SISTEMAS","F",86.84,21,58.49,158.49
"1377",1377,"QUIMICA","F",89.86,22,58.32,158.32
"1378",1378,"SISTEMAS","F",85.73,21,59.92,159.92
"1379",1379,"ADMINISTRACION","M",89.23,22,70.6,170.6
"1380",1380,"INFORMATICA","F",85.45,21,61.55,161.55
"1381",1381,"SISTEMAS","F",83.64,20,61.63,161.63
"1382",1382,"MECANICA","F",81.77,20,57.46,157.46
"1383",1383,"INDUSTRIAL","M",83.54,20,79.82,179.82
"1384",1384,"CIVIL","M",83.41,20,79.18,179.18
"1385",1385,"ARQUITECTURA","M",88,22,76.05,176.05
"1386",1386,"ELECTRICA","M",85.82,21,79.67,179.67
"1387",1387,"BIOQUIMICA","M",83.82,20,85.28,185.28
"1388",1388,"TIC","F",82.89,20,57.14,157.14
"1389",1389,"MECANICA","F",91.24,23,61.67,161.67
"1390",1390,"INDUSTRIAL","F",85.18,21,61.1,161.1
"1391",1391,"INFORMATICA","F",81.67,20,55.54,155.54
"1392",1392,"CIVIL","M",84.51,21,75.54,175.54
"1393",1393,"ARQUITECTURA","M",86.32,21,82.9,182.9
"1394",1394,"QUIMICA","F",88.89,22,58.32,158.32
"1395",1395,"MECATRONICA","F",85.71,21,57.23,157.23
"1396",1396,"CIVIL","M",86.39,21,85.11,185.11
"1397",1397,"MECATRONICA","F",82.4,20,59.13,159.13
"1398",1398,"TIC","F",88.76,22,60.59,160.59
"1399",1399,"ELECTRICA","M",86.35,21,79.36,179.36
"1400",1400,"MECATRONICA","F",88.55,22,62.37,162.37
"1401",1401,"CIVIL","M",91.36,23,80.83,180.83
"1402",1402,"MECANICA","F",86.62,21,60.24,160.24
"1403",1403,"QUIMICA","F",85.02,21,61.86,161.86
"1404",1404,"ELECTRICA","M",83.34,20,82.72,182.72
"1405",1405,"INDUSTRIAL","M",84,20,81.04,181.04
"1406",1406,"SISTEMAS","F",82.83,20,62.44,162.44
"1407",1407,"INDUSTRIAL","M",87.28,21,81.89,181.89
"1408",1408,"ARQUITECTURA","M",80.92,20,81.57,181.57
"1409",1409,"ADMINISTRACION","M",79.95,19,78.55,178.55
"1410",1410,"BIOQUIMICA","M",83.69,20,82.9,182.9
"1411",1411,"ADMINISTRACION","M",89.76,22,78.7,178.7
"1412",1412,"ELECTRONICA","M",86.43,21,77.39,177.39
"1413",1413,"ARQUITECTURA","M",84.29,21,80.14,180.14
"1414",1414,"INFORMATICA","F",88.32,22,60.06,160.06
"1415",1415,"ELECTRICA","M",84.78,21,77.17,177.17
"1416",1416,"INFORMATICA","F",85.6,21,58.55,158.55
"1417",1417,"TIC","F",86.25,21,58.76,158.76
"1418",1418,"ELECTRONICA","M",89.77,22,76.67,176.67
"1419",1419,"QUIMICA","F",90.48,22,59.77,159.77
"1420",1420,"ELECTRONICA","M",90.44,22,75.46,175.46
"1421",1421,"QUIMICA","F",89.39,22,56.91,156.91
"1422",1422,"MECANICA","F",87.14,21,56.65,156.65
"1423",1423,"TIC","F",92.51,23,60.05,160.05
"1424",1424,"CIVIL","M",93.08,23,80.32,180.32
"1425",1425,"ELECTRONICA","M",90.6,22,79.64,179.64
"1426",1426,"ARQUITECTURA","M",85.24,21,78.73,178.73
"1427",1427,"ADMINISTRACION","M",82.4,20,87.41,187.41
"1428",1428,"INDUSTRIAL","F",86.67,21,57.81,157.81
"1429",1429,"ELECTRICA","M",84.08,20,82.84,182.84
"1430",1430,"SISTEMAS","F",86.95,21,59.79,159.79
"1431",1431,"ARQUITECTURA","M",84.09,20,79,179
"1432",1432,"SISTEMAS","F",89.19,22,56.86,156.86
"1433",1433,"ELECTRICA","M",93.58,23,79.51,179.51
"1434",1434,"ELECTRONICA","M",89.34,22,82.03,182.03
"1435",1435,"QUIMICA","F",88.57,22,56.86,156.86
"1436",1436,"INDUSTRIAL","M",86.13,21,77.19,177.19
"1437",1437,"INFORMATICA","F",93.55,23,60.27,160.27
"1438",1438,"QUIMICA","F",85.72,21,62.07,162.07
"1439",1439,"TIC","F",90.77,22,58.48,158.48
"1440",1440,"CIVIL","M",91.46,23,79.59,179.59
"1441",1441,"MECANICA","F",86.56,21,60.28,160.28
"1442",1442,"ELECTRONICA","M",74.73,18,79.33,179.33
"1443",1443,"BIOQUIMICA","M",84.86,21,82.76,182.76
"1444",1444,"MECANICA","F",87.58,21,63.49,163.49
"1445",1445,"QUIMICA","F",81.48,20,60.49,160.49
"1446",1446,"CIVIL","M",81.53,20,81.28,181.28
"1447",1447,"INDUSTRIAL","M",89.14,22,79.18,179.18
"1448",1448,"ELECTRICA","M",76.31,18,82.8,182.8
"1449",1449,"BIOQUIMICA","M",86.81,21,81.77,181.77
"1450",1450,"MECATRONICA","F",85.07,21,60.41,160.41
"1451",1451,"INDUSTRIAL","F",83.72,20,63.24,163.24
"1452",1452,"CIVIL","M",86.22,21,81.18,181.18
"1453",1453,"ARQUITECTURA","M",86.19,21,78.75,178.75
"1454",1454,"MECANICA","F",86.86,21,58.93,158.93
"1455",1455,"SISTEMAS","F",86.43,21,59.64,159.64
"1456",1456,"ADMINISTRACION","M",84.15,20,79.4,179.4
"1457",1457,"MECANICA","F",86.9,21,60.41,160.41
"1458",1458,"ARQUITECTURA","M",90.81,22,82.61,182.61
"1459",1459,"ELECTRICA","M",88.31,22,81.25,181.25
"1460",1460,"MECATRONICA","F",91.19,22,61.65,161.65
"1461",1461,"ELECTRICA","M",85.05,21,79.14,179.14
"1462",1462,"ELECTRONICA","M",88.02,22,79.81,179.81
"1463",1463,"SISTEMAS","F",87.74,22,61.9,161.9
"1464",1464,"ELECTRICA","M",83.43,20,76.18,176.18
"1465",1465,"ADMINISTRACION","M",83.17,20,83.34,183.34
"1466",1466,"CIVIL","M",92.48,23,87.51,187.51
"1467",1467,"BIOQUIMICA","M",83.13,20,78.73,178.73
"1468",1468,"SISTEMAS","F",89.29,22,62.22,162.22
"1469",1469,"MECANICA","F",85.08,21,62.15,162.15
"1470",1470,"ADMINISTRACION","M",82.19,20,80.32,180.32
"1471",1471,"ELECTRICA","M",80.69,19,77.94,177.94
"1472",1472,"SISTEMAS","F",81.82,20,56.95,156.95
"1473",1473,"SISTEMAS","F",79.24,19,61.01,161.01
"1474",1474,"ADMINISTRACION","M",82.94,20,80.03,180.03
"1475",1475,"ELECTRONICA","M",89.37,22,76.76,176.76
"1476",1476,"ELECTRONICA","M",83.99,20,74.89,174.89
"1477",1477,"TIC","F",92.02,23,58.07,158.07
"1478",1478,"ELECTRONICA","M",85.4,21,82.74,182.74
"1479",1479,"MECANICA","F",82.75,20,57.74,157.74
"1480",1480,"MECATRONICA","F",85.01,21,59.7,159.7
"1481",1481,"ARQUITECTURA","M",83.96,20,81.82,181.82
"1482",1482,"ARQUITECTURA","M",84.46,21,72.42,172.42
"1483",1483,"ADMINISTRACION","M",86.21,21,80.89,180.89
"1484",1484,"ELECTRONICA","M",86.28,21,80.13,180.13
"1485",1485,"TIC","F",88.63,22,55.86,155.86
"1486",1486,"ELECTRONICA","M",87.87,22,77.49,177.49
"1487",1487,"MECATRONICA","F",88.69,22,58.89,158.89
"1488",1488,"MECATRONICA","F",86.46,21,58.47,158.47
"1489",1489,"BIOQUIMICA","M",83.2,20,78.25,178.25
"1490",1490,"TIC","F",87.56,21,59.77,159.77
"1491",1491,"ADMINISTRACION","M",87.43,21,82.61,182.61
"1492",1492,"BIOQUIMICA","M",84.6,21,79.6,179.6
"1493",1493,"TIC","F",84.66,21,58.68,158.68
"1494",1494,"MECANICA","F",89.79,22,61.49,161.49
"1495",1495,"BIOQUIMICA","M",90.64,22,83.18,183.18
"1496",1496,"MECANICA","F",86.4,21,59.68,159.68
"1497",1497,"QUIMICA","F",84.64,21,61.93,161.93
"1498",1498,"TIC","F",91.72,23,59.95,159.95
"1499",1499,"QUIMICA","F",81.69,20,59.41,159.41
"1500",1500,"INDUSTRIAL","M",82.84,20,77.11,177.11
"1501",1501,"ARQUITECTURA","M",88.94,22,76.41,176.41
"1502",1502,"TIC","F",82.79,20,61.71,161.71
"1503",1503,"BIOQUIMICA","M",89.1,22,81.8,181.8
"1504",1504,"INDUSTRIAL","F",82.74,20,56.98,156.98
"1505",1505,"ADMINISTRACION","M",87.87,22,73.58,173.58
"1506",1506,"ELECTRICA","M",85.37,21,81.87,181.87
"1507",1507,"MECATRONICA","F",89.09,22,56.84,156.84
"1508",1508,"MECATRONICA","F",90.6,22,63.6,163.6
"1509",1509,"ADMINISTRACION","M",85.64,21,85.82,185.82
"1510",1510,"INFORMATICA","F",88.13,22,63.06,163.06
"1511",1511,"ARQUITECTURA","M",79.77,19,76.03,176.03
"1512",1512,"MECANICA","F",85.09,21,56.9,156.9
"1513",1513,"QUIMICA","F",81.81,20,59.96,159.96
"1514",1514,"SISTEMAS","F",86.71,21,60.36,160.36
"1515",1515,"SISTEMAS","F",85.95,21,59.7,159.7
"1516",1516,"ELECTRONICA","M",85.19,21,79.73,179.73
"1517",1517,"SISTEMAS","F",85.35,21,58.72,158.72
"1518",1518,"ELECTRONICA","M",89.3,22,85.27,185.27
"1519",1519,"CIVIL","M",85.47,21,78.18,178.18
"1520",1520,"ELECTRONICA","M",92.42,23,80.95,180.95
"1521",1521,"INDUSTRIAL","M",79.4,19,78.77,178.77
"1522",1522,"TIC","F",87.24,21,58.2,158.2
"1523",1523,"MECATRONICA","F",93.32,23,58.54,158.54
"1524",1524,"QUIMICA","F",82.07,20,55.92,155.92
"1525",1525,"ADMINISTRACION","M",83.24,20,79.68,179.68
"1526",1526,"SISTEMAS","F",84.62,21,60.29,160.29
"1527",1527,"ELECTRONICA","M",86.32,21,81.31,181.31
"1528",1528,"TIC","F",85.17,21,62.93,162.93
"1529",1529,"INFORMATICA","F",84.4,21,56.3,156.3
"1530",1530,"QUIMICA","F",92.67,23,58.76,158.76
"1531",1531,"QUIMICA","F",86.42,21,56.33,156.33
"1532",1532,"CIVIL","M",89.78,22,80.91,180.91
"1533",1533,"MECATRONICA","F",75.7,18,65.12,165.12
"1534",1534,"ARQUITECTURA","M",89.91,22,82.76,182.76
"1535",1535,"TIC","F",90.54,22,59.17,159.17
"1536",1536,"ADMINISTRACION","M",84.33,21,84.11,184.11
"1537",1537,"INFORMATICA","F",85.22,21,59.65,159.65
"1538",1538,"INFORMATICA","F",91.78,23,60.71,160.71
"1539",1539,"ADMINISTRACION","M",86.14,21,79.78,179.78
"1540",1540,"INDUSTRIAL","F",89.6,22,60.41,160.41
"1541",1541,"ELECTRICA","M",88.04,22,82.46,182.46
"1542",1542,"ARQUITECTURA","M",85.45,21,76.03,176.03
"1543",1543,"ARQUITECTURA","M",84.99,21,86.3,186.3
"1544",1544,"TIC","F",81.08,20,59.22,159.22
"1545",1545,"SISTEMAS","F",78.59,19,60.9,160.9
"1546",1546,"ELECTRONICA","M",85.92,21,86.75,186.75
"1547",1547,"TIC","F",86.93,21,59.84,159.84
"1548",1548,"INDUSTRIAL","M",84.26,20,78.1,178.1
"1549",1549,"INDUSTRIAL","M",88.19,22,86.49,186.49
"1550",1550,"MECANICA","F",87.64,21,57.78,157.78
"1551",1551,"BIOQUIMICA","M",84.82,21,80.43,180.43
"1552",1552,"ADMINISTRACION","M",86.17,21,78.55,178.55
"1553",1553,"TIC","F",90.49,22,59.89,159.89
"1554",1554,"CIVIL","M",87.09,21,79.39,179.39
"1555",1555,"INFORMATICA","F",88.78,22,57.72,157.72
"1556",1556,"TIC","F",87.68,21,56.78,156.78
"1557",1557,"ELECTRICA","M",91.98,23,82.41,182.41
"1558",1558,"QUIMICA","F",86.35,21,61.56,161.56
"1559",1559,"TIC","F",82.57,20,57.65,157.65
"1560",1560,"MECATRONICA","F",84.4,21,56.68,156.68
"1561",1561,"BIOQUIMICA","M",86.82,21,79.91,179.91
"1562",1562,"SISTEMAS","F",85.07,21,62.11,162.11
"1563",1563,"TIC","F",85.41,21,58.59,158.59
"1564",1564,"ARQUITECTURA","M",88.3,22,78.01,178.01
"1565",1565,"BIOQUIMICA","M",83.31,20,76.76,176.76
"1566",1566,"TIC","F",79.35,19,61.76,161.76
"1567",1567,"MECANICA","F",93,23,62.68,162.68
"1568",1568,"TIC","F",87.51,21,62.8,162.8
"1569",1569,"SISTEMAS","F",89.64,22,58.45,158.45
"1570",1570,"ELECTRICA","M",84.92,21,78.3,178.3
"1571",1571,"ADMINISTRACION","M",86.32,21,80.28,180.28
"1572",1572,"INFORMATICA","F",78.54,19,62.3,162.3
"1573",1573,"MECANICA","F",87.24,21,61.17,161.17
"1574",1574,"SISTEMAS","F",87.62,21,58.84,158.84
"1575",1575,"ELECTRONICA","M",82.86,20,82.04,182.04
"1576",1576,"QUIMICA","F",84.17,20,60.73,160.73
"1577",1577,"MECATRONICA","F",90.65,22,61.17,161.17
"1578",1578,"ADMINISTRACION","M",87.63,21,75.27,175.27
"1579",1579,"BIOQUIMICA","M",85.12,21,79.81,179.81
"1580",1580,"TIC","F",87.28,21,60.39,160.39
"1581",1581,"INDUSTRIAL","M",81.33,20,76.99,176.99
"1582",1582,"TIC","F",90.06,22,61.04,161.04
"1583",1583,"TIC","F",79.39,19,62.04,162.04
"1584",1584,"SISTEMAS","F",82.52,20,58.2,158.2
"1585",1585,"INFORMATICA","F",88.34,22,60.48,160.48
"1586",1586,"MECANICA","F",89.99,22,57.49,157.49
"1587",1587,"SISTEMAS","F",80,19,60.74,160.74
"1588",1588,"ELECTRONICA","M",88.08,22,79.75,179.75
"1589",1589,"ELECTRONICA","M",87.18,21,82.92,182.92
"1590",1590,"INFORMATICA","F",85.88,21,58.32,158.32
"1591",1591,"ADMINISTRACION","M",83.83,20,82.7,182.7
"1592",1592,"SISTEMAS","F",83.03,20,59.08,159.08
"1593",1593,"INDUSTRIAL","M",86.53,21,79.9,179.9
"1594",1594,"ADMINISTRACION","M",90.18,22,81.12,181.12
"1595",1595,"ADMINISTRACION","M",80.84,20,84.21,184.21
"1596",1596,"ADMINISTRACION","M",82.36,20,78.74,178.74
"1597",1597,"ARQUITECTURA","M",91.67,23,82.26,182.26
"1598",1598,"CIVIL","M",81.82,20,75.24,175.24
"1599",1599,"TIC","F",76.9,18,57.79,157.79
"1600",1600,"ADMINISTRACION","M",86.06,21,79.93,179.93
"1601",1601,"ADMINISTRACION","M",87.19,21,81.29,181.29
"1602",1602,"ARQUITECTURA","M",86.04,21,81.35,181.35
"1603",1603,"ARQUITECTURA","M",82.97,20,76.52,176.52
"1604",1604,"TIC","F",87.19,21,59.26,159.26
"1605",1605,"SISTEMAS","F",85.39,21,60.51,160.51
"1606",1606,"BIOQUIMICA","M",89.19,22,76.3,176.3
"1607",1607,"INDUSTRIAL","M",87.04,21,81.87,181.87
"1608",1608,"CIVIL","M",88.4,22,80.47,180.47
"1609",1609,"CIVIL","M",87.13,21,81.1,181.1
"1610",1610,"ADMINISTRACION","M",87.41,21,81.54,181.54
"1611",1611,"ELECTRONICA","M",88.63,22,77.32,177.32
"1612",1612,"MECATRONICA","F",78.08,19,61.4,161.4
"1613",1613,"ELECTRICA","M",87.79,22,81.52,181.52
"1614",1614,"MECATRONICA","F",81.33,20,63.25,163.25
"1615",1615,"SISTEMAS","F",87.26,21,53.87,153.87
"1616",1616,"TIC","F",90.55,22,61.71,161.71
"1617",1617,"MECATRONICA","F",84.45,21,54.73,154.73
"1618",1618,"ELECTRICA","M",83.2,20,75.98,175.98
"1619",1619,"ARQUITECTURA","M",85.7,21,78.65,178.65
"1620",1620,"TIC","F",91.49,23,59.02,159.02
"1621",1621,"MECANICA","F",86.35,21,58.97,158.97
"1622",1622,"INFORMATICA","F",86.52,21,57.47,157.47
"1623",1623,"MECATRONICA","F",84.11,20,57.04,157.04
"1624",1624,"ADMINISTRACION","M",84.17,20,80.47,180.47
"1625",1625,"MECATRONICA","F",85.52,21,56.41,156.41
"1626",1626,"TIC","F",80.49,19,60.97,160.97
"1627",1627,"ARQUITECTURA","M",90.28,22,79.27,179.27
"1628",1628,"QUIMICA","F",84.84,21,61.23,161.23
"1629",1629,"ELECTRONICA","M",79.07,19,80.02,180.02
"1630",1630,"SISTEMAS","F",85.94,21,56.08,156.08
"1631",1631,"QUIMICA","F",85.17,21,59,159
"1632",1632,"ELECTRICA","M",79.79,19,81.65,181.65
"1633",1633,"SISTEMAS","F",93.1,23,60.93,160.93
"1634",1634,"ADMINISTRACION","M",82.13,20,83.19,183.19
"1635",1635,"ARQUITECTURA","M",81.31,20,82.18,182.18
"1636",1636,"INDUSTRIAL","F",87.56,21,57.88,157.88
"1637",1637,"ARQUITECTURA","M",89.58,22,78.53,178.53
"1638",1638,"ADMINISTRACION","M",85.32,21,83.97,183.97
"1639",1639,"MECANICA","F",86.79,21,60.75,160.75
"1640",1640,"ARQUITECTURA","M",82.18,20,80.64,180.64
"1641",1641,"ELECTRONICA","M",89.31,22,84.49,184.49
"1642",1642,"MECATRONICA","F",87.08,21,61.09,161.09
"1643",1643,"SISTEMAS","F",86.35,21,58.58,158.58
"1644",1644,"ELECTRICA","M",88.59,22,84.74,184.74
"1645",1645,"MECANICA","F",89.46,22,65.33,165.33
"1646",1646,"ELECTRICA","M",83.46,20,80.05,180.05
"1647",1647,"INDUSTRIAL","F",87.67,21,62.57,162.57
"1648",1648,"CIVIL","M",82.57,20,77.22,177.22
"1649",1649,"INFORMATICA","F",93.72,23,56.7,156.7
"1650",1650,"TIC","F",87.58,21,59.55,159.55
"1651",1651,"INFORMATICA","F",85.88,21,56.64,156.64
"1652",1652,"ARQUITECTURA","M",84.3,21,86.24,186.24
"1653",1653,"ADMINISTRACION","M",85.24,21,81.87,181.87
"1654",1654,"ELECTRICA","M",82.19,20,77.16,177.16
"1655",1655,"QUIMICA","F",86.22,21,64.62,164.62
"1656",1656,"MECATRONICA","F",88.02,22,59.08,159.08
"1657",1657,"ADMINISTRACION","M",84.22,20,80.16,180.16
"1658",1658,"INFORMATICA","F",83.19,20,59.67,159.67
"1659",1659,"INDUSTRIAL","M",80.36,19,80.1,180.1
"1660",1660,"CIVIL","M",87.97,22,81.52,181.52
"1661",1661,"CIVIL","M",87.16,21,76.53,176.53
"1662",1662,"INDUSTRIAL","M",85.27,21,81.05,181.05
"1663",1663,"QUIMICA","F",84.09,20,57.15,157.15
"1664",1664,"ELECTRONICA","M",86.89,21,78.41,178.41
"1665",1665,"SISTEMAS","F",81.24,20,59.85,159.85
"1666",1666,"QUIMICA","F",80.9,20,56.3,156.3
"1667",1667,"CIVIL","M",80.99,20,79.97,179.97
"1668",1668,"INFORMATICA","F",84.75,21,62.06,162.06
"1669",1669,"INFORMATICA","F",88.74,22,60.86,160.86
"1670",1670,"CIVIL","M",88.48,22,77.69,177.69
"1671",1671,"TIC","F",84.04,20,61.57,161.57
"1672",1672,"TIC","F",90.91,22,59.06,159.06
"1673",1673,"QUIMICA","F",82.03,20,63.28,163.28
"1674",1674,"ADMINISTRACION","M",84.29,21,80.25,180.25
"1675",1675,"MECANICA","F",83.46,20,59.66,159.66
"1676",1676,"MECATRONICA","F",86.55,21,62.27,162.27
"1677",1677,"ADMINISTRACION","M",79.93,19,81.04,181.04
"1678",1678,"TIC","F",90.1,22,58.71,158.71
"1679",1679,"BIOQUIMICA","M",90.18,22,84.14,184.14
"1680",1680,"ADMINISTRACION","M",89.39,22,76.41,176.41
"1681",1681,"QUIMICA","F",85.72,21,58.03,158.03
"1682",1682,"MECANICA","F",90.01,22,58.91,158.91
"1683",1683,"ARQUITECTURA","M",87.69,21,80.72,180.72
"1684",1684,"SISTEMAS","F",89.32,22,59.85,159.85
"1685",1685,"QUIMICA","F",86.62,21,60.79,160.79
"1686",1686,"TIC","F",87.01,21,61.53,161.53
"1687",1687,"ELECTRONICA","M",78.68,19,79.06,179.06
"1688",1688,"QUIMICA","F",84.14,20,64.67,164.67
"1689",1689,"ELECTRICA","M",89.51,22,73,173
"1690",1690,"QUIMICA","F",86.35,21,57.23,157.23
"1691",1691,"INFORMATICA","F",81.78,20,61.71,161.71
"1692",1692,"INFORMATICA","F",82.68,20,60.34,160.34
"1693",1693,"SISTEMAS","F",84.07,20,60.54,160.54
"1694",1694,"BIOQUIMICA","M",93.35,23,81.49,181.49
"1695",1695,"MECANICA","F",85.38,21,58.89,158.89
"1696",1696,"BIOQUIMICA","M",83.77,20,78.05,178.05
"1697",1697,"ARQUITECTURA","M",78.75,19,80.07,180.07
"1698",1698,"MECATRONICA","F",79.41,19,59.08,159.08
"1699",1699,"MECANICA","F",90.23,22,60.92,160.92
"1700",1700,"ARQUITECTURA","M",83.05,20,75.77,175.77
"1701",1701,"MECANICA","F",91.62,23,56.69,156.69
"1702",1702,"MECANICA","F",84.86,21,62.3,162.3
"1703",1703,"MECATRONICA","F",77.94,19,55.03,155.03
"1704",1704,"ADMINISTRACION","M",93.6,23,74.82,174.82
"1705",1705,"ADMINISTRACION","M",82.25,20,81.13,181.13
"1706",1706,"BIOQUIMICA","M",84.25,20,80.08,180.08
"1707",1707,"ARQUITECTURA","M",86.33,21,79.53,179.53
"1708",1708,"MECANICA","F",85.58,21,61.81,161.81
"1709",1709,"ELECTRICA","M",80.74,19,78.18,178.18
"1710",1710,"CIVIL","M",80.77,19,81.84,181.84
"1711",1711,"BIOQUIMICA","M",90.83,22,76.93,176.93
"1712",1712,"BIOQUIMICA","M",83.55,20,85.81,185.81
"1713",1713,"BIOQUIMICA","M",88.87,22,83.8,183.8
"1714",1714,"CIVIL","M",91.92,23,83.38,183.38
"1715",1715,"BIOQUIMICA","M",83.3,20,82.01,182.01
"1716",1716,"TIC","F",83.55,20,62.88,162.88
"1717",1717,"ELECTRICA","M",79.1,19,81.97,181.97
"1718",1718,"ADMINISTRACION","M",92.58,23,82.1,182.1
